group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,1033078.0,ns,20
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,2094358.0,ns,40
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,2782109.0,ns,60
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,4091208.0,ns,80
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,5143588.0,ns,100
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,6161465.0,ns,120
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,6862617.0,ns,140
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,8038706.0,ns,160
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,9287100.0,ns,180
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,10033756.0,ns,200
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,11089336.0,ns,220
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,12145216.0,ns,240
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,13416111.0,ns,260
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,14546097.0,ns,280
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,15265751.0,ns,300
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,16154218.0,ns,320
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,17371610.0,ns,340
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,18413289.0,ns,360
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,19440765.0,ns,380
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,20425040.0,ns,400
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,21234901.0,ns,420
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,22204874.0,ns,440
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,23186048.0,ns,460
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,24335935.0,ns,480
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,25035188.0,ns,500
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,26467195.0,ns,520
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,26967834.0,ns,540
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,28249230.0,ns,560
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,29778945.0,ns,580
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,30462897.0,ns,600
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,30502900.0,ns,620
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,32109921.0,ns,640
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,32069318.0,ns,660
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,33361115.0,ns,680
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,34350990.0,ns,700
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,35891606.0,ns,720
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,36506952.0,ns,740
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,37224506.0,ns,760
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,38943636.0,ns,780
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,40445450.0,ns,800
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,41349617.0,ns,820
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,42155578.0,ns,840
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,43422174.0,ns,860
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,43357769.0,ns,880
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,45149104.0,ns,900
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,46115377.0,ns,920
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,47862808.0,ns,940
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,48532259.0,ns,960
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,49260413.0,ns,980
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,49602339.0,ns,1000
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,50499208.0,ns,1020
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,52527760.0,ns,1040
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,52850585.0,ns,1060
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,53305319.0,ns,1080
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,54204486.0,ns,1100
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,55776006.0,ns,1120
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,57126807.0,ns,1140
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,59342774.0,ns,1160
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,59846412.0,ns,1180
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,60217340.0,ns,1200
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,60922893.0,ns,1220
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,61773658.0,ns,1240
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,59454882.0,ns,1260
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,64192140.0,ns,1280
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,65782760.0,ns,1300
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,65827863.0,ns,1320
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,67015452.0,ns,1340
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,67102758.0,ns,1360
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,70003377.0,ns,1380
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,70235195.0,ns,1400
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,70487514.0,ns,1420
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,71740709.0,ns,1440
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,74330504.0,ns,1460
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,74092486.0,ns,1480
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,75319079.0,ns,1500
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,73964176.0,ns,1520
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,76641778.0,ns,1540
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,77165217.0,ns,1560
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,79043559.0,ns,1580
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,81301230.0,ns,1600
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,81841070.0,ns,1620
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,83625105.0,ns,1640
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,84723587.0,ns,1660
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,85593553.0,ns,1680
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,85511447.0,ns,1700
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,84426565.0,ns,1720
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,87684111.0,ns,1740
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,88725889.0,ns,1760
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,90379614.0,ns,1780
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,91001261.0,ns,1800
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,92797897.0,ns,1820
group__bruteforce__classic_vs_orbit_cyclic,classic,16,,,93676062.0,ns,1840
