group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__bruteforce__classic_vs_orbit_symm,classic,3,,,991170.0,ns,248
group__bruteforce__classic_vs_orbit_symm,classic,3,,,1984941.0,ns,496
group__bruteforce__classic_vs_orbit_symm,classic,3,,,2974310.0,ns,744
group__bruteforce__classic_vs_orbit_symm,classic,3,,,3965280.0,ns,992
group__bruteforce__classic_vs_orbit_symm,classic,3,,,4953651.0,ns,1240
group__bruteforce__classic_vs_orbit_symm,classic,3,,,5947920.0,ns,1488
group__bruteforce__classic_vs_orbit_symm,classic,3,,,6943191.0,ns,1736
group__bruteforce__classic_vs_orbit_symm,classic,3,,,7936661.0,ns,1984
group__bruteforce__classic_vs_orbit_symm,classic,3,,,8917231.0,ns,2232
group__bruteforce__classic_vs_orbit_symm,classic,3,,,9904100.0,ns,2480
group__bruteforce__classic_vs_orbit_symm,classic,3,,,10894070.0,ns,2728
group__bruteforce__classic_vs_orbit_symm,classic,3,,,11873440.0,ns,2976
group__bruteforce__classic_vs_orbit_symm,classic,3,,,12878710.0,ns,3224
group__bruteforce__classic_vs_orbit_symm,classic,3,,,13863880.0,ns,3472
group__bruteforce__classic_vs_orbit_symm,classic,3,,,14850450.0,ns,3720
group__bruteforce__classic_vs_orbit_symm,classic,3,,,15851421.0,ns,3968
group__bruteforce__classic_vs_orbit_symm,classic,3,,,16844691.0,ns,4216
group__bruteforce__classic_vs_orbit_symm,classic,3,,,17820259.0,ns,4464
group__bruteforce__classic_vs_orbit_symm,classic,3,,,18814330.0,ns,4712
group__bruteforce__classic_vs_orbit_symm,classic,3,,,19814300.0,ns,4960
group__bruteforce__classic_vs_orbit_symm,classic,3,,,20801170.0,ns,5208
group__bruteforce__classic_vs_orbit_symm,classic,3,,,21817742.0,ns,5456
group__bruteforce__classic_vs_orbit_symm,classic,3,,,22771709.0,ns,5704
group__bruteforce__classic_vs_orbit_symm,classic,3,,,23767881.0,ns,5952
group__bruteforce__classic_vs_orbit_symm,classic,3,,,24755150.0,ns,6200
group__bruteforce__classic_vs_orbit_symm,classic,3,,,25748020.0,ns,6448
group__bruteforce__classic_vs_orbit_symm,classic,3,,,26756091.0,ns,6696
group__bruteforce__classic_vs_orbit_symm,classic,3,,,27713959.0,ns,6944
group__bruteforce__classic_vs_orbit_symm,classic,3,,,28698829.0,ns,7192
group__bruteforce__classic_vs_orbit_symm,classic,3,,,29726801.0,ns,7440
group__bruteforce__classic_vs_orbit_symm,classic,3,,,30744074.0,ns,7688
group__bruteforce__classic_vs_orbit_symm,classic,3,,,31785247.0,ns,7936
group__bruteforce__classic_vs_orbit_symm,classic,3,,,32740614.0,ns,8184
group__bruteforce__classic_vs_orbit_symm,classic,3,,,33676381.0,ns,8432
group__bruteforce__classic_vs_orbit_symm,classic,3,,,34696253.0,ns,8680
group__bruteforce__classic_vs_orbit_symm,classic,3,,,35666721.0,ns,8928
group__bruteforce__classic_vs_orbit_symm,classic,3,,,36611688.0,ns,9176
group__bruteforce__classic_vs_orbit_symm,classic,3,,,37629961.0,ns,9424
group__bruteforce__classic_vs_orbit_symm,classic,3,,,38613729.0,ns,9672
group__bruteforce__classic_vs_orbit_symm,classic,3,,,39619201.0,ns,9920
group__bruteforce__classic_vs_orbit_symm,classic,3,,,40629672.0,ns,10168
group__bruteforce__classic_vs_orbit_symm,classic,3,,,41564438.0,ns,10416
group__bruteforce__classic_vs_orbit_symm,classic,3,,,42600711.0,ns,10664
group__bruteforce__classic_vs_orbit_symm,classic,3,,,43580881.0,ns,10912
group__bruteforce__classic_vs_orbit_symm,classic,3,,,44764664.0,ns,11160
group__bruteforce__classic_vs_orbit_symm,classic,3,,,45806238.0,ns,11408
group__bruteforce__classic_vs_orbit_symm,classic,3,,,46812309.0,ns,11656
group__bruteforce__classic_vs_orbit_symm,classic,3,,,47819980.0,ns,11904
group__bruteforce__classic_vs_orbit_symm,classic,3,,,48905657.0,ns,12152
group__bruteforce__classic_vs_orbit_symm,classic,3,,,49818721.0,ns,12400
group__bruteforce__classic_vs_orbit_symm,classic,3,,,50779290.0,ns,12648
group__bruteforce__classic_vs_orbit_symm,classic,3,,,51941672.0,ns,12896
group__bruteforce__classic_vs_orbit_symm,classic,3,,,52747928.0,ns,13144
group__bruteforce__classic_vs_orbit_symm,classic,3,,,53548985.0,ns,13392
group__bruteforce__classic_vs_orbit_symm,classic,3,,,54466550.0,ns,13640
group__bruteforce__classic_vs_orbit_symm,classic,3,,,55631233.0,ns,13888
group__bruteforce__classic_vs_orbit_symm,classic,3,,,56536596.0,ns,14136
group__bruteforce__classic_vs_orbit_symm,classic,3,,,57447260.0,ns,14384
group__bruteforce__classic_vs_orbit_symm,classic,3,,,58463733.0,ns,14632
group__bruteforce__classic_vs_orbit_symm,classic,3,,,59422401.0,ns,14880
group__bruteforce__classic_vs_orbit_symm,classic,3,,,60546080.0,ns,15128
group__bruteforce__classic_vs_orbit_symm,classic,3,,,61467945.0,ns,15376
group__bruteforce__classic_vs_orbit_symm,classic,3,,,62451214.0,ns,15624
group__bruteforce__classic_vs_orbit_symm,classic,3,,,63580494.0,ns,15872
group__bruteforce__classic_vs_orbit_symm,classic,3,,,64395752.0,ns,16120
group__bruteforce__classic_vs_orbit_symm,classic,3,,,65521531.0,ns,16368
group__bruteforce__classic_vs_orbit_symm,classic,3,,,66601408.0,ns,16616
group__bruteforce__classic_vs_orbit_symm,classic,3,,,67333060.0,ns,16864
group__bruteforce__classic_vs_orbit_symm,classic,3,,,68282227.0,ns,17112
group__bruteforce__classic_vs_orbit_symm,classic,3,,,69407906.0,ns,17360
group__bruteforce__classic_vs_orbit_symm,classic,3,,,70285568.0,ns,17608
group__bruteforce__classic_vs_orbit_symm,classic,3,,,71287139.0,ns,17856
group__bruteforce__classic_vs_orbit_symm,classic,3,,,72285510.0,ns,18104
group__bruteforce__classic_vs_orbit_symm,classic,3,,,73262079.0,ns,18352
group__bruteforce__classic_vs_orbit_symm,classic,3,,,74341155.0,ns,18600
group__bruteforce__classic_vs_orbit_symm,classic,3,,,75295422.0,ns,18848
group__bruteforce__classic_vs_orbit_symm,classic,3,,,76312694.0,ns,19096
group__bruteforce__classic_vs_orbit_symm,classic,3,,,77265662.0,ns,19344
group__bruteforce__classic_vs_orbit_symm,classic,3,,,78180626.0,ns,19592
group__bruteforce__classic_vs_orbit_symm,classic,3,,,79183997.0,ns,19840
group__bruteforce__classic_vs_orbit_symm,classic,3,,,80135264.0,ns,20088
group__bruteforce__classic_vs_orbit_symm,classic,3,,,81197439.0,ns,20336
group__bruteforce__classic_vs_orbit_symm,classic,3,,,82224912.0,ns,20584
group__bruteforce__classic_vs_orbit_symm,classic,3,,,83168579.0,ns,20832
group__bruteforce__classic_vs_orbit_symm,classic,3,,,84335361.0,ns,21080
group__bruteforce__classic_vs_orbit_symm,classic,3,,,85311930.0,ns,21328
group__bruteforce__classic_vs_orbit_symm,classic,3,,,86157690.0,ns,21576
group__bruteforce__classic_vs_orbit_symm,classic,3,,,87220565.0,ns,21824
group__bruteforce__classic_vs_orbit_symm,classic,3,,,88236837.0,ns,22072
group__bruteforce__classic_vs_orbit_symm,classic,3,,,89034893.0,ns,22320
group__bruteforce__classic_vs_orbit_symm,classic,3,,,90173774.0,ns,22568
group__bruteforce__classic_vs_orbit_symm,classic,3,,,91086738.0,ns,22816
group__bruteforce__classic_vs_orbit_symm,classic,3,,,91976701.0,ns,23064
