group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60047045.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60613282.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60409064.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,61884776.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60183548.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59708812.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60466669.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60449868.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60224751.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60477470.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60494871.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60451368.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60547475.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60405764.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60379462.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60616181.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60362361.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60550775.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60347160.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60208249.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60445268.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60292056.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60203950.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59800219.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60605880.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59833121.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60201050.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60073039.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,57196922.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59548999.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59552500.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59653308.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60208149.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60667884.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60600280.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60157846.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60362261.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60437767.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60344060.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60242952.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60276155.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60266254.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60256954.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60291856.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60292556.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60181648.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60433267.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60469269.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60247552.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60335660.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60379162.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60416065.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60503572.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60397564.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60405064.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60436167.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60260654.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60286256.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60257253.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59756715.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60201949.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60433266.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60454568.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60425166.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60412565.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60380262.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60436367.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60883700.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,61549751.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60113042.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59743015.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60137144.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,58985458.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59715212.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60445267.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60033637.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59991033.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60190749.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60132944.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60099341.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60215050.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59917428.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60335859.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60038436.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60199148.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60409665.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60229951.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60592479.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60404265.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59452192.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60035836.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60709188.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59741715.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,59607804.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60118643.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60334460.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60018435.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60173347.0,ns,3
group__bruteforce__classic_vs_orbit_symm,classic,5,,,60956906.0,ns,3
