group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,1008871.0,ns,92
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,1991141.0,ns,184
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,2993911.0,ns,276
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,3982781.0,ns,368
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,4986552.0,ns,460
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,5970921.0,ns,552
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,6982093.0,ns,644
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,7982764.0,ns,736
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,8983634.0,ns,828
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,9978304.0,ns,920
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,10982175.0,ns,1012
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,11950144.0,ns,1104
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,12970516.0,ns,1196
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,13938883.0,ns,1288
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,14905852.0,ns,1380
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,15982628.0,ns,1472
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,16967398.0,ns,1564
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,17913464.0,ns,1656
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,18956938.0,ns,1748
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,19941808.0,ns,1840
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,20958279.0,ns,1932
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,22020654.0,ns,2024
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,22957420.0,ns,2116
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,23922789.0,ns,2208
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,24903957.0,ns,2300
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,25956632.0,ns,2392
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,26940501.0,ns,2484
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,27834365.0,ns,2576
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,28923841.0,ns,2668
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,29852707.0,ns,2760
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,30910081.0,ns,2852
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,31868749.0,ns,2944
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,32908323.0,ns,3036
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,33901093.0,ns,3128
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,34853360.0,ns,3220
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,35816628.0,ns,3312
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,36904805.0,ns,3404
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,37819369.0,ns,3496
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,38913747.0,ns,3588
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,39908517.0,ns,3680
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,40878585.0,ns,3772
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,41852254.0,ns,3864
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,42880727.0,ns,3956
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,43785490.0,ns,4048
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,44912370.0,ns,4140
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,45790832.0,ns,4232
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,46884009.0,ns,4324
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,47844777.0,ns,4416
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,48889951.0,ns,4508
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,49916723.0,ns,4600
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,50864790.0,ns,4692
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,51744452.0,ns,4784
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,52827229.0,ns,4876
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,53773295.0,ns,4968
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,54868273.0,ns,5060
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,55939148.0,ns,5152
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,56900516.0,ns,5244
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,57818281.0,ns,5336
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,58780049.0,ns,5428
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,59729715.0,ns,5520
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,60807791.0,ns,5612
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,61676553.0,ns,5704
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,62834834.0,ns,5796
group__bruteforce__classic_vs_orbit_symm,orbit,4,,,63886908.0,ns,5888
