group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,1021878.0,ns,17
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,1996251.0,ns,34
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,3061732.0,ns,51
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,4074009.0,ns,68
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,5060684.0,ns,85
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,6026557.0,ns,102
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,6854820.0,ns,119
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,8138517.0,ns,136
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,8980681.0,ns,153
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,9706937.0,ns,170
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,11114243.0,ns,187
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,11893002.0,ns,204
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,13002186.0,ns,221
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,14158974.0,ns,238
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,14633309.0,ns,255
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,15760195.0,ns,272
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,16716067.0,ns,289
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,17305812.0,ns,306
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,18643714.0,ns,323
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,20251236.0,ns,340
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,20214333.0,ns,357
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,21618339.0,ns,374
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,23306868.0,ns,391
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,24538661.0,ns,408
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,25317120.0,ns,425
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,25645145.0,ns,442
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,26805333.0,ns,459
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,28440557.0,ns,476
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,29355626.0,ns,493
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,30140086.0,ns,510
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,31107059.0,ns,527
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,31310774.0,ns,544
group__bruteforce__classic_vs_orbit_symm,orbit,5,,,33586047.0,ns,561
