group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,1003771.0,ns,226
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,1926535.0,ns,452
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,2952407.0,ns,678
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,3832769.0,ns,904
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,4745034.0,ns,1130
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,5574692.0,ns,1356
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,6654068.0,ns,1582
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,7665839.0,ns,1808
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,8419392.0,ns,2034
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,9233649.0,ns,2260
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,10131212.0,ns,2486
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,11170585.0,ns,2712
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,12160454.0,ns,2938
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,13425743.0,ns,3164
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,14147794.0,ns,3390
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,15287874.0,ns,3616
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,15903118.0,ns,3842
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,17117203.0,ns,4068
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,17783050.0,ns,4294
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,19123644.0,ns,4520
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,20156616.0,ns,4746
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,20834364.0,ns,4972
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,21851335.0,ns,5198
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,22832804.0,ns,5424
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,23420845.0,ns,5650
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,24114794.0,ns,5876
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,24434217.0,ns,6102
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,25664203.0,ns,6328
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,27834156.0,ns,6554
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,28505102.0,ns,6780
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,27905861.0,ns,7006
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,29962005.0,ns,7232
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,31268097.0,ns,7458
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,32057252.0,ns,7684
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,32645994.0,ns,7910
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,34433419.0,ns,8136
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,35418588.0,ns,8362
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,36018831.0,ns,8588
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,37281520.0,ns,8814
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,38378397.0,ns,9040
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,38707320.0,ns,9266
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,39451272.0,ns,9492
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,41110788.0,ns,9718
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,42174063.0,ns,9944
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,42970020.0,ns,10170
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,43974890.0,ns,10396
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,44897555.0,ns,10622
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,45648708.0,ns,10848
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,46778587.0,ns,11074
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,47819760.0,ns,11300
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,46982201.0,ns,11526
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,48835432.0,ns,11752
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,49343867.0,ns,11978
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,50989582.0,ns,12204
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,51501818.0,ns,12430
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,52981523.0,ns,12656
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,53538462.0,ns,12882
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,54841854.0,ns,13108
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,55948031.0,ns,13334
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,56446066.0,ns,13560
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,57317827.0,ns,13786
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,57667152.0,ns,14012
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,59787401.0,ns,14238
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,60506952.0,ns,14464
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,59717196.0,ns,14690
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,61308107.0,ns,14916
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,62904820.0,ns,15142
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,63648072.0,ns,15368
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,65877628.0,ns,15594
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,66000037.0,ns,15820
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,67930973.0,ns,16046
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,68156289.0,ns,16272
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,69130157.0,ns,16498
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,70523756.0,ns,16724
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,32,,,71589730.0,ns,16950
