group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,971569.0,ns,121
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,1878533.0,ns,242
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,2997712.0,ns,363
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,3916377.0,ns,484
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,4902246.0,ns,605
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,5743706.0,ns,726
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,6784679.0,ns,847
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,7685943.0,ns,968
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,8850925.0,ns,1089
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,9946903.0,ns,1210
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,10860467.0,ns,1331
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,11276597.0,ns,1452
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,12770002.0,ns,1573
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,13786274.0,ns,1694
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,14784245.0,ns,1815
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,15532098.0,ns,1936
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,16401660.0,ns,2057
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,17468935.0,ns,2178
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,18693621.0,ns,2299
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,19752596.0,ns,2420
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,20711264.0,ns,2541
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,21638929.0,ns,2662
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,22758209.0,ns,2783
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,23719677.0,ns,2904
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,24602038.0,ns,3025
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,25681615.0,ns,3146
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,26368663.0,ns,3267
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,27098615.0,ns,3388
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,28603722.0,ns,3509
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,29587091.0,ns,3630
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,30583362.0,ns,3751
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,31565031.0,ns,3872
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,32657108.0,ns,3993
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal,64,,,33463565.0,ns,4114
