group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,968282.0,ns,112
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,1920561.0,ns,224
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,2886343.0,ns,336
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,3847424.0,ns,448
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,4800104.0,ns,560
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,5761985.0,ns,672
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,6712764.0,ns,784
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,7670646.0,ns,896
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,8645027.0,ns,1008
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,9629610.0,ns,1120
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,10588991.0,ns,1232
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,11529870.0,ns,1344
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,12496851.0,ns,1456
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,13418129.0,ns,1568
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,14396411.0,ns,1680
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,15344191.0,ns,1792
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,16306872.0,ns,1904
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,17280654.0,ns,2016
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,18284138.0,ns,2128
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,19270522.0,ns,2240
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,20191398.0,ns,2352
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,21160981.0,ns,2464
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,22048555.0,ns,2576
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,22998034.0,ns,2688
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,23953916.0,ns,2800
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,24890594.0,ns,2912
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,25847974.0,ns,3024
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,26919965.0,ns,3136
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,27884946.0,ns,3248
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,28780121.0,ns,3360
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,29754304.0,ns,3472
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,30638577.0,ns,3584
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,31599258.0,ns,3696
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,32561139.0,ns,3808
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,33528720.0,ns,3920
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,34500301.0,ns,4032
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,35568292.0,ns,4144
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,36542173.0,ns,4256
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,37418847.0,ns,4368
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,38394329.0,ns,4480
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,39258101.0,ns,4592
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,64,,,40233184.0,ns,4704
