group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,1048074.0,ns,1028
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,2103749.0,ns,2056
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,3105119.0,ns,3084
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,4194295.0,ns,4112
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,5241769.0,ns,5140
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,6307445.0,ns,6168
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,7349318.0,ns,7196
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,8394991.0,ns,8224
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,9361560.0,ns,9252
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,10394033.0,ns,10280
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,11514711.0,ns,11308
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,12496081.0,ns,12336
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,13645862.0,ns,13364
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,14631031.0,ns,14392
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,15358482.0,ns,15420
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,16400756.0,ns,16448
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,17830357.0,ns,17476
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,18955636.0,ns,18504
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,19576879.0,ns,19532
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,20996580.0,ns,20560
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,21937646.0,ns,21588
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,24274111.0,ns,22616
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,25565401.0,ns,23644
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,26039034.0,ns,24672
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,26380759.0,ns,25700
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,27341026.0,ns,26728
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,28146683.0,ns,27756
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,29260462.0,ns,28784
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,30200228.0,ns,29812
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,31254902.0,ns,30840
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,31763738.0,ns,31868
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,33667472.0,ns,32896
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,34654142.0,ns,33924
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,35663913.0,ns,34952
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,36679284.0,ns,35980
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,37784163.0,ns,37008
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,38453010.0,ns,38036
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,39289369.0,ns,39064
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,40697767.0,ns,40092
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,41931054.0,ns,41120
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,42443090.0,ns,42148
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,44031302.0,ns,43176
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,45132680.0,ns,44204
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,46155552.0,ns,45232
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,47050815.0,ns,46260
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,48208397.0,ns,47288
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,49322375.0,ns,48316
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,50414453.0,ns,49344
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,51238711.0,ns,50372
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,51770148.0,ns,51400
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,53273454.0,ns,52428
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,53843194.0,ns,53456
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,53976003.0,ns,54484
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,55938842.0,ns,55512
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,56850906.0,ns,56540
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,57133626.0,ns,57568
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,57292537.0,ns,58596
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,60451060.0,ns,59624
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,61155709.0,ns,60652
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,61752651.0,ns,61680
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,63095446.0,ns,62708
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,63086945.0,ns,63736
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,65113989.0,ns,64764
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,64440641.0,ns,65792
group__orbit__f_transversal_vs_optmized_f_transversal_complete,transversal_optmized,8,,,67247239.0,ns,66820
