group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,1016884.0,ns,9
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,2016365.0,ns,18
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,3016047.0,ns,27
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,4009529.0,ns,36
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,5012510.0,ns,45
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,6003892.0,ns,54
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,7011174.0,ns,63
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,8022157.0,ns,72
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,9018239.0,ns,81
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,10014520.0,ns,90
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,11011001.0,ns,99
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,12005683.0,ns,108
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,13007366.0,ns,117
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,14004747.0,ns,126
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,15016130.0,ns,135
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,16011311.0,ns,144
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,17014094.0,ns,153
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,18008475.0,ns,162
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,19026358.0,ns,171
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,20020740.0,ns,180
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,21038423.0,ns,189
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,22024204.0,ns,198
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,23038987.0,ns,207
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,24033669.0,ns,216
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,25033550.0,ns,225
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,26016031.0,ns,234
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,27018013.0,ns,243
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,28020595.0,ns,252
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,29000975.0,ns,261
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,30013558.0,ns,270
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,31045443.0,ns,279
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,32040924.0,ns,288
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,33019304.0,ns,297
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,34039588.0,ns,306
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,35040269.0,ns,315
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,36021450.0,ns,324
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,37025032.0,ns,333
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,38013113.0,ns,342
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,38963891.0,ns,351
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,40027478.0,ns,360
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,41017059.0,ns,369
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,42063144.0,ns,378
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,42974019.0,ns,387
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,44054208.0,ns,396
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,45022187.0,ns,405
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,46048771.0,ns,414
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,46967046.0,ns,423
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,48058935.0,ns,432
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,49016214.0,ns,441
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,49965092.0,ns,450
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,51013377.0,ns,459
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,52007058.0,ns,468
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,52969836.0,ns,477
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,54004521.0,ns,486
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,55066508.0,ns,495
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,56044488.0,ns,504
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,57032069.0,ns,513
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,57985347.0,ns,522
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,59036733.0,ns,531
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,60049116.0,ns,540
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,61020596.0,ns,549
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,61998175.0,ns,558
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,63031460.0,ns,567
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,63974837.0,ns,576
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,65002822.0,ns,585
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,65993603.0,ns,594
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,67106394.0,ns,603
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,67986666.0,ns,612
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,69049553.0,ns,621
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,70069235.0,ns,630
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,71009612.0,ns,639
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,72101801.0,ns,648
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,73045879.0,ns,657
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,73998157.0,ns,666
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,75064944.0,ns,675
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,76043624.0,ns,684
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,77010803.0,ns,693
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,78002084.0,ns,702
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,79017167.0,ns,711
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,80023949.0,ns,720
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,81051133.0,ns,729
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,81967508.0,ns,738
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,82921586.0,ns,747
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,83954870.0,ns,756
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,84992354.0,ns,765
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,86042840.0,ns,774
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,87084526.0,ns,783
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,88021202.0,ns,792
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,64,,,89054587.0,ns,801
