group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,1001684.0,ns,507
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,2008768.0,ns,1014
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,3000652.0,ns,1521
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,4000635.0,ns,2028
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,5007619.0,ns,2535
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,6002903.0,ns,3042
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,7003487.0,ns,3549
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,7999671.0,ns,4056
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,9004354.0,ns,4563
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,10004438.0,ns,5070
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,11009423.0,ns,5577
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,12015607.0,ns,6084
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,13002090.0,ns,6591
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,14004374.0,ns,7098
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,14995256.0,ns,7605
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,16024742.0,ns,8112
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,16995124.0,ns,8619
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,18002709.0,ns,9126
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,19007493.0,ns,9633
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,20058281.0,ns,10140
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,20997659.0,ns,10647
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,21999843.0,ns,11154
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,22992627.0,ns,11661
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,24014612.0,ns,12168
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,24993894.0,ns,12675
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,26006479.0,ns,13182
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,27037965.0,ns,13689
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,28007846.0,ns,14196
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,29031532.0,ns,14703
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,30038016.0,ns,15210
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,31007498.0,ns,15717
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,32032984.0,ns,16224
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,32993564.0,ns,16731
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,34015350.0,ns,17238
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,35013333.0,ns,17745
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,35994715.0,ns,18252
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,37000999.0,ns,18759
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,38070589.0,ns,19266
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,38999767.0,ns,19773
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,40018552.0,ns,20280
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,40976733.0,ns,20787
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,42005919.0,ns,21294
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,43077708.0,ns,21801
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,44024588.0,ns,22308
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,45066875.0,ns,22815
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,46008654.0,ns,23322
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,47036139.0,ns,23829
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal,8,,,48056225.0,ns,24336
