group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,1099680.0,ns,484
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,2087852.0,ns,968
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,3194233.0,ns,1452
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,4038794.0,ns,1936
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,5324887.0,ns,2420
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,6324160.0,ns,2904
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,7283929.0,ns,3388
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,8291903.0,ns,3872
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,9376381.0,ns,4356
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,10564969.0,ns,4840
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,11731854.0,ns,5324
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,12679822.0,ns,5808
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,13501882.0,ns,6292
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,14591361.0,ns,6776
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,15732044.0,ns,7260
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,16538502.0,ns,7744
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,17890501.0,ns,8228
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,19147693.0,ns,8712
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,20163667.0,ns,9196
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,21225943.0,ns,9680
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,22275220.0,ns,10164
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,23344098.0,ns,10648
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,24358672.0,ns,11132
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,25063423.0,ns,11616
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,26636038.0,ns,12100
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,27308587.0,ns,12584
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,28577379.0,ns,13068
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,29242427.0,ns,13552
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,28350862.0,ns,14036
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,30158993.0,ns,14520
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,30416612.0,ns,15004
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,32842389.0,ns,15488
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,34678822.0,ns,15972
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,35928513.0,ns,16456
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,36594562.0,ns,16940
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,38214080.0,ns,17424
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,38769219.0,ns,17908
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,39681686.0,ns,18392
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,41256700.0,ns,18876
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,42287476.0,ns,19360
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,42621800.0,ns,19844
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,44326524.0,ns,20328
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,45343898.0,ns,20812
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,46544285.0,ns,21296
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,46218561.0,ns,21780
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,48395620.0,ns,22264
group__orbit__f_transversal_vs_optmized_f_transversal_complete_many_gens,transversal_optmized,16,,,49829724.0,ns,22748
