group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,998881.0,ns,369
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,1998662.0,ns,738
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,2985942.0,ns,1107
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,3990122.0,ns,1476
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,4989303.0,ns,1845
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,5978583.0,ns,2214
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,6979263.0,ns,2583
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,7978044.0,ns,2952
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,8973825.0,ns,3321
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,9978706.0,ns,3690
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,10960084.0,ns,4059
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,11962265.0,ns,4428
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,12969847.0,ns,4797
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,13953726.0,ns,5166
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,15015112.0,ns,5535
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,15989391.0,ns,5904
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,16953068.0,ns,6273
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,17935248.0,ns,6642
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,18934329.0,ns,7011
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,19944010.0,ns,7380
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,20934090.0,ns,7749
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,21939271.0,ns,8118
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,22934451.0,ns,8487
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,23931331.0,ns,8856
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,24937213.0,ns,9225
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,25915892.0,ns,9594
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,26921573.0,ns,9963
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,27926354.0,ns,10332
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,28908733.0,ns,10701
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,29910415.0,ns,11070
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,30913996.0,ns,11439
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,31899275.0,ns,11808
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,32919856.0,ns,12177
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,33895435.0,ns,12546
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,34942420.0,ns,12915
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,35887896.0,ns,13284
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,36883076.0,ns,13653
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,37901458.0,ns,14022
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,38887838.0,ns,14391
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,39891919.0,ns,14760
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,40883899.0,ns,15129
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,41870779.0,ns,15498
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,42868159.0,ns,15867
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,43850139.0,ns,16236
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,44871021.0,ns,16605
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,45860101.0,ns,16974
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,46870982.0,ns,17343
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,47844161.0,ns,17712
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,48850542.0,ns,18081
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,49856423.0,ns,18450
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,50853104.0,ns,18819
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,51834483.0,ns,19188
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,52858066.0,ns,19557
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,53816543.0,ns,19926
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,54843725.0,ns,20295
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,55832905.0,ns,20664
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,56832486.0,ns,21033
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,58007081.0,ns,21402
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,58811845.0,ns,21771
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,59914634.0,ns,22140
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,60842509.0,ns,22509
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,61803987.0,ns,22878
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,62826168.0,ns,23247
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,63824450.0,ns,23616
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,64817930.0,ns,23985
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,65793008.0,ns,24354
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,66789788.0,ns,24723
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,67803071.0,ns,25092
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,68784850.0,ns,25461
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,69788030.0,ns,25830
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,70815913.0,ns,26199
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,71791590.0,ns,26568
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,72772170.0,ns,26937
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,73777051.0,ns,27306
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,75123760.0,ns,27675
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,75774313.0,ns,28044
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,76763192.0,ns,28413
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,77746771.0,ns,28782
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,78766954.0,ns,29151
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,79753133.0,ns,29520
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,80731313.0,ns,29889
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,81754995.0,ns,30258
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,82751875.0,ns,30627
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,83746755.0,ns,30996
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,84711632.0,ns,31365
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,85971233.0,ns,31734
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,86964113.0,ns,32103
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,87798580.0,ns,32472
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,88736756.0,ns,32841
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,89938653.0,ns,33210
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,90844426.0,ns,33579
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,91698095.0,ns,33948
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,92711777.0,ns,34317
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,93700956.0,ns,34686
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,94712737.0,ns,35055
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,95693615.0,ns,35424
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,96697697.0,ns,35793
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,97718978.0,ns,36162
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,98678356.0,ns,36531
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal,16,,,99698039.0,ns,36900
