group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,1051993.0,ns,403
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,2108787.0,ns,806
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,2957262.0,ns,1209
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,4230475.0,ns,1612
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,5250466.0,ns,2015
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,6350063.0,ns,2418
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,7440559.0,ns,2821
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,8479251.0,ns,3224
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,9488341.0,ns,3627
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,10170401.0,ns,4030
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,11465716.0,ns,4433
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,12784332.0,ns,4836
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,13276476.0,ns,5239
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,14629396.0,ns,5642
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,15781998.0,ns,6045
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,16830191.0,ns,6448
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,17807578.0,ns,6851
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,18963380.0,ns,7254
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,19383017.0,ns,7657
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,21179977.0,ns,8060
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,21831035.0,ns,8463
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,22923031.0,ns,8866
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,24123837.0,ns,9269
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,25439353.0,ns,9672
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,26461344.0,ns,10075
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,27321120.0,ns,10478
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,27812864.0,ns,10881
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,29060674.0,ns,11284
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,30638814.0,ns,11687
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,31743012.0,ns,12090
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,32346866.0,ns,12493
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,33795994.0,ns,12896
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,34633268.0,ns,13299
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,35607755.0,ns,13702
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,36790160.0,ns,14105
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,37840153.0,ns,14508
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,38359498.0,ns,14911
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,39534703.0,ns,15314
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,41111242.0,ns,15717
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,42095229.0,ns,16120
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,43110919.0,ns,16523
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,44037001.0,ns,16926
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,45421624.0,ns,17329
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,46007176.0,ns,17732
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,47390998.0,ns,18135
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,48505297.0,ns,18538
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,49233062.0,ns,18941
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,50507574.0,ns,19344
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,51879796.0,ns,19747
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,52557856.0,ns,20150
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,52426844.0,ns,20553
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,53564745.0,ns,20956
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,53614650.0,ns,21359
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,56367294.0,ns,21762
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,57246671.0,ns,22165
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,58866915.0,ns,22568
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,60037919.0,ns,22971
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,60482458.0,ns,23374
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,61866481.0,ns,23777
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,62874671.0,ns,24180
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,63576333.0,ns,24583
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,63902562.0,ns,24986
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,65904039.0,ns,25389
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,67570786.0,ns,25792
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,67898015.0,ns,26195
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,68978010.0,ns,26598
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,69665172.0,ns,27001
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,71343520.0,ns,27404
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,72875856.0,ns,27807
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,73653425.0,ns,28210
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,74436694.0,ns,28613
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,75538392.0,ns,29016
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,76014935.0,ns,29419
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,77661780.0,ns,29822
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,78574561.0,ns,30225
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,79859375.0,ns,30628
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,81301102.0,ns,31031
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,82231585.0,ns,31434
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,83161467.0,ns,31837
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,84333971.0,ns,32240
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,85404166.0,ns,32643
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,86507963.0,ns,33046
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,86203837.0,ns,33449
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,16,,,86196136.0,ns,33852
