group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,983378.0,ns,96
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,1970657.0,ns,192
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,2954935.0,ns,288
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,3936513.0,ns,384
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,4922691.0,ns,480
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,5902469.0,ns,576
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,6896047.0,ns,672
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,7881625.0,ns,768
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,8858403.0,ns,864
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,9846582.0,ns,960
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,10826960.0,ns,1056
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,11808638.0,ns,1152
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,12802417.0,ns,1248
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,13774594.0,ns,1344
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,14758372.0,ns,1440
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,15750151.0,ns,1536
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,16723128.0,ns,1632
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,17724907.0,ns,1728
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,18705985.0,ns,1824
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,19688563.0,ns,1920
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,20662440.0,ns,2016
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,21655420.0,ns,2112
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,22645298.0,ns,2208
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,23623876.0,ns,2304
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,24601554.0,ns,2400
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,25585532.0,ns,2496
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,26565910.0,ns,2592
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,27562288.0,ns,2688
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,28527765.0,ns,2784
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,29527745.0,ns,2880
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,30509923.0,ns,2976
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,31496502.0,ns,3072
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,32472079.0,ns,3168
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,33468758.0,ns,3264
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,34429935.0,ns,3360
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,35432613.0,ns,3456
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,36435793.0,ns,3552
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,37398070.0,ns,3648
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,38392048.0,ns,3744
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,39380526.0,ns,3840
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,40353704.0,ns,3936
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,41355484.0,ns,4032
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,42314160.0,ns,4128
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,43301238.0,ns,4224
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,44291516.0,ns,4320
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,45263794.0,ns,4416
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,46262973.0,ns,4512
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,47247751.0,ns,4608
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,48221029.0,ns,4704
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,49194306.0,ns,4800
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,50218187.0,ns,4896
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,51164663.0,ns,4992
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,52174543.0,ns,5088
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,53134919.0,ns,5184
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,54150200.0,ns,5280
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,55114276.0,ns,5376
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,56096153.0,ns,5472
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,57091332.0,ns,5568
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,58076611.0,ns,5664
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,59046987.0,ns,5760
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,60035866.0,ns,5856
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,61025044.0,ns,5952
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,61996021.0,ns,6048
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,62971698.0,ns,6144
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,63967478.0,ns,6240
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,64961957.0,ns,6336
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,65939735.0,ns,6432
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,66930713.0,ns,6528
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,67891989.0,ns,6624
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,68893769.0,ns,6720
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,69857646.0,ns,6816
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,70866426.0,ns,6912
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,71857404.0,ns,7008
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,72848682.0,ns,7104
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,73818959.0,ns,7200
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,74815738.0,ns,7296
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,75770314.0,ns,7392
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,76769993.0,ns,7488
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,77725268.0,ns,7584
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,78718247.0,ns,7680
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,79725527.0,ns,7776
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,80719806.0,ns,7872
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,81683083.0,ns,7968
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,82678462.0,ns,8064
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,83642738.0,ns,8160
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,84638516.0,ns,8256
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,85639496.0,ns,8352
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,86635375.0,ns,8448
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,87605552.0,ns,8544
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,88573529.0,ns,8640
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,89572608.0,ns,8736
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,90546985.0,ns,8832
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,91543864.0,ns,8928
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,92491840.0,ns,9024
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,93502820.0,ns,9120
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,94462296.0,ns,9216
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,95511478.0,ns,9312
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,96472354.0,ns,9408
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,97689550.0,ns,9504
group__orbit__f_transversal_vs_optmized_f_transversal_uncomplete,transversal_optmized,64,,,98408807.0,ns,9600
