group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,962367.0,ns,424
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,1926335.0,ns,848
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,2762294.0,ns,1272
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,3849172.0,ns,1696
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,4816739.0,ns,2120
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,5653798.0,ns,2544
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,6750076.0,ns,2968
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,7665140.0,ns,3392
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,8639209.0,ns,3816
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,9354359.0,ns,4240
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,10487940.0,ns,4664
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,11458707.0,ns,5088
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,12017047.0,ns,5512
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,13396944.0,ns,5936
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,13978586.0,ns,6360
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,15487591.0,ns,6784
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,15839116.0,ns,7208
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,17258917.0,ns,7632
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,18092975.0,ns,8056
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,18936335.0,ns,8480
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,19875601.0,ns,8904
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,20440241.0,ns,9328
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,21250698.0,ns,9752
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,22029353.0,ns,10176
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,24053896.0,ns,10600
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,24899655.0,ns,11024
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,26114541.0,ns,11448
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,26914797.0,ns,11872
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,28027376.0,ns,12296
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,28754327.0,ns,12720
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,29938110.0,ns,13144
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,30712165.0,ns,13568
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,31765639.0,ns,13992
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,32695004.0,ns,14416
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,33415856.0,ns,14840
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,34279316.0,ns,15264
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,35102474.0,ns,15688
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,36048741.0,ns,16112
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,37366234.0,ns,16536
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,37214723.0,ns,16960
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,39192663.0,ns,17384
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,40276939.0,ns,17808
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,40884982.0,ns,18232
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,42324483.0,ns,18656
group__orbit__orbit_vs_factored_cyclic,factored_transversal,16,,,42970229.0,ns,19080
