group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,993275.0,ns,113
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,1992652.0,ns,226
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,2984327.0,ns,339
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,3971002.0,ns,452
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,4972879.0,ns,565
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,5960454.0,ns,678
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,6960330.0,ns,791
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,7951305.0,ns,904
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,8947582.0,ns,1017
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,9953158.0,ns,1130
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,10926233.0,ns,1243
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,11925409.0,ns,1356
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,12924384.0,ns,1469
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,13935361.0,ns,1582
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,14933737.0,ns,1695
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,15940914.0,ns,1808
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,16932590.0,ns,1921
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,17899663.0,ns,2034
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,18915240.0,ns,2147
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,19913017.0,ns,2260
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,20906192.0,ns,2373
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,21863865.0,ns,2486
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,22875142.0,ns,2599
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,23905021.0,ns,2712
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,24871394.0,ns,2825
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,25871970.0,ns,2938
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,26881747.0,ns,3051
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,27828920.0,ns,3164
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,28815094.0,ns,3277
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,29837672.0,ns,3390
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,30833049.0,ns,3503
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,31805722.0,ns,3616
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,32790797.0,ns,3729
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,33809175.0,ns,3842
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,34807551.0,ns,3955
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,35783925.0,ns,4068
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,36804203.0,ns,4181
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,37800879.0,ns,4294
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,38764252.0,ns,4407
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,39759927.0,ns,4520
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,40759204.0,ns,4633
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,41780481.0,ns,4746
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,42723454.0,ns,4859
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,43764833.0,ns,4972
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,44819513.0,ns,5085
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,45762784.0,ns,5198
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,46789063.0,ns,5311
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,47725034.0,ns,5424
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,48725611.0,ns,5537
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,49689184.0,ns,5650
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,50754865.0,ns,5763
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,51793544.0,ns,5876
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,52741316.0,ns,5989
group__orbit__orbit_vs_factored_cyclic,factored_transversal,64,,,53731791.0,ns,6102
