group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,1006871.0,ns,311
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,2017942.0,ns,622
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,3014412.0,ns,933
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,4033683.0,ns,1244
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,4972549.0,ns,1555
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,5697200.0,ns,1866
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,6992992.0,ns,2177
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,8008063.0,ns,2488
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,8931527.0,ns,2799
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,10144012.0,ns,3110
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,10628946.0,ns,3421
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,11751325.0,ns,3732
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,12837802.0,ns,4043
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,13502148.0,ns,4354
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,15039857.0,ns,4665
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,16100131.0,ns,4976
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,17015495.0,ns,5287
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,17581135.0,ns,5598
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,18752617.0,ns,5909
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,19315057.0,ns,6220
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,21126085.0,ns,6531
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,21705425.0,ns,6842
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,22588187.0,ns,7153
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,23773570.0,ns,7464
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,25240773.0,ns,7775
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,25744908.0,ns,8086
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,26907190.0,ns,8397
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,27667444.0,ns,8708
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,28964635.0,ns,9019
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,30228024.0,ns,9330
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,29998507.0,ns,9641
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,31541616.0,ns,9952
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,32739600.0,ns,10263
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,34422118.0,ns,10574
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,34599131.0,ns,10885
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,35544097.0,ns,11196
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,37220914.0,ns,11507
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,38331592.0,ns,11818
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,38074274.0,ns,12129
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,38845828.0,ns,12440
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,40484444.0,ns,12751
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,41807437.0,ns,13062
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,42644096.0,ns,13373
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,44248008.0,ns,13684
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,45146838.0,ns,13995
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,45050428.0,ns,14306
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,46363220.0,ns,14617
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,47418992.0,ns,14928
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,49632146.0,ns,15239
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,49938167.0,ns,15550
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,51339764.0,ns,15861
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,52362736.0,ns,16172
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,53377906.0,ns,16483
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,53732531.0,ns,16794
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,55378645.0,ns,17105
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,56564127.0,ns,17416
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,57337781.0,ns,17727
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,55895781.0,ns,18038
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,58971394.0,ns,18349
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,58904390.0,ns,18660
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,61116443.0,ns,18971
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,62480839.0,ns,19282
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,62726055.0,ns,19593
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,64210558.0,ns,19904
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,65673360.0,ns,20215
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,65096519.0,ns,20526
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,67530788.0,ns,20837
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,68388548.0,ns,21148
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,69164402.0,ns,21459
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,68801377.0,ns,21770
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,69995160.0,ns,22081
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,70622304.0,ns,22392
group__orbit__orbit_vs_factored_cyclic,orbit,32,,,70854720.0,ns,22703
