group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,994876.0,ns,142
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,1988752.0,ns,284
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,2983828.0,ns,426
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,3988205.0,ns,568
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,4973380.0,ns,710
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,5976957.0,ns,852
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,6961631.0,ns,994
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,7960808.0,ns,1136
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,8958684.0,ns,1278
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,9954060.0,ns,1420
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,10941136.0,ns,1562
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,11953813.0,ns,1704
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,12917186.0,ns,1846
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,13941065.0,ns,1988
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,14931740.0,ns,2130
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,15934917.0,ns,2272
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,16898890.0,ns,2414
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,17909268.0,ns,2556
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,18901344.0,ns,2698
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,19929022.0,ns,2840
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,20882295.0,ns,2982
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,21900272.0,ns,3124
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,22915550.0,ns,3266
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,23887524.0,ns,3408
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,24866999.0,ns,3550
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,25875076.0,ns,3692
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,26846350.0,ns,3834
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,27873028.0,ns,3976
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,28841602.0,ns,4118
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,29863180.0,ns,4260
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,30818153.0,ns,4402
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,31912136.0,ns,4544
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,32826106.0,ns,4686
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,33848985.0,ns,4828
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,34823058.0,ns,4970
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,35831236.0,ns,5112
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,36783408.0,ns,5254
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,37833689.0,ns,5396
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,38759659.0,ns,5538
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,39818640.0,ns,5680
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,40768412.0,ns,5822
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,41795591.0,ns,5964
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,42761965.0,ns,6106
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,43801244.0,ns,6248
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,44737916.0,ns,6390
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,45787296.0,ns,6532
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,46739169.0,ns,6674
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,47771147.0,ns,6816
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,48723920.0,ns,6958
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,49762400.0,ns,7100
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,50755875.0,ns,7242
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,51758752.0,ns,7384
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,52698424.0,ns,7526
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,53762104.0,ns,7668
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,54697276.0,ns,7810
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,55752456.0,ns,7952
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,56693128.0,ns,8094
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,57719006.0,ns,8236
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,58680079.0,ns,8378
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,59726260.0,ns,8520
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,60651830.0,ns,8662
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,61712211.0,ns,8804
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,62623681.0,ns,8946
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,63714264.0,ns,9088
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,64626433.0,ns,9230
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,65680014.0,ns,9372
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,66595384.0,ns,9514
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,67702769.0,ns,9656
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,68635839.0,ns,9798
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,69725721.0,ns,9940
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,70624991.0,ns,10082
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,71700872.0,ns,10224
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,72588040.0,ns,10366
group__orbit__orbit_vs_factored_cyclic,orbit,64,,,73699325.0,ns,10508
