group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,1007772.0,ns,199
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,1869132.0,ns,398
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,2862703.0,ns,597
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,4027185.0,ns,796
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,4981253.0,ns,995
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,6064829.0,ns,1194
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,6917389.0,ns,1393
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,7572135.0,ns,1592
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,8938032.0,ns,1791
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,9706287.0,ns,1990
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,10931173.0,ns,2189
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,11348803.0,ns,2388
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,12464782.0,ns,2587
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,13416949.0,ns,2786
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,13727271.0,ns,2985
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,15970230.0,ns,3184
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,17159314.0,ns,3383
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,17936969.0,ns,3582
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,18834333.0,ns,3781
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,20011816.0,ns,3980
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,20867977.0,ns,4179
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,21963454.0,ns,4378
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,22711407.0,ns,4577
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,24297119.0,ns,4776
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,24958766.0,ns,4975
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,25923634.0,ns,5174
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,27200024.0,ns,5373
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,27756264.0,ns,5572
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,29037055.0,ns,5771
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,28252599.0,ns,5970
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,30782378.0,ns,6169
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,29658999.0,ns,6368
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,30494257.0,ns,6567
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,33929801.0,ns,6766
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,34821464.0,ns,6965
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,35176989.0,ns,7164
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,36153958.0,ns,7363
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,38147699.0,ns,7562
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,38096995.0,ns,7761
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,39853820.0,ns,7960
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,41119209.0,ns,8159
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,42240788.0,ns,8358
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,42854032.0,ns,8557
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,43385169.0,ns,8756
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,43964510.0,ns,8955
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,45706034.0,ns,9154
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,47018627.0,ns,9353
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,48297117.0,ns,9552
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,49440398.0,ns,9751
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,50289658.0,ns,9950
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,51488243.0,ns,10149
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,52451511.0,ns,10348
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,52949947.0,ns,10547
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,54243438.0,ns,10746
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,55448323.0,ns,10945
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,56324585.0,ns,11144
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,57467366.0,ns,11343
group__orbit__orbit_vs_factored_cyclic,transversal,16,,,58407032.0,ns,11542
