group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,998977.0,ns,430
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,1981654.0,ns,860
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,2979332.0,ns,1290
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,3970410.0,ns,1720
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,4961186.0,ns,2150
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,5958064.0,ns,2580
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,6944341.0,ns,3010
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,7934318.0,ns,3440
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,8935996.0,ns,3870
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,9918772.0,ns,4300
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,10919751.0,ns,4730
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,11965532.0,ns,5160
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,12902705.0,ns,5590
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,13892182.0,ns,6020
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,14898860.0,ns,6450
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,15894738.0,ns,6880
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,16884815.0,ns,7310
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,17866592.0,ns,7740
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,18858769.0,ns,8170
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,19844245.0,ns,8600
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,20840423.0,ns,9030
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,21832301.0,ns,9460
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,22824777.0,ns,9890
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,23821656.0,ns,10320
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,24810532.0,ns,10750
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,25807410.0,ns,11180
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,26797487.0,ns,11610
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,27783764.0,ns,12040
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,28781141.0,ns,12470
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,29783320.0,ns,12900
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,30766096.0,ns,13330
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,31761474.0,ns,13760
group__orbit__orbit_vs_factored_cyclic,transversal,8,,,32757651.0,ns,14190
