group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,967473.0,ns,190
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,1966449.0,ns,380
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,3041930.0,ns,570
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,4016204.0,ns,760
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,5042081.0,ns,950
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,6069658.0,ns,1140
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,6873120.0,ns,1330
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,8067310.0,ns,1520
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,8343030.0,ns,1710
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,9824143.0,ns,1900
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,10263576.0,ns,2090
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,11657081.0,ns,2280
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,12603152.0,ns,2470
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,13794442.0,ns,2660
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,14800019.0,ns,2850
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,15911603.0,ns,3040
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,17221501.0,ns,3230
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,17461020.0,ns,3420
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,18516499.0,ns,3610
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,20191826.0,ns,3800
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,20734067.0,ns,3990
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,22216579.0,ns,4180
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,23139149.0,ns,4370
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,24289836.0,ns,4560
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,24342740.0,ns,4750
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,25982164.0,ns,4940
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,27445375.0,ns,5130
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,28287738.0,ns,5320
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,29255611.0,ns,5510
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,30267787.0,ns,5700
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,31092450.0,ns,5890
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,32300241.0,ns,6080
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,33078300.0,ns,6270
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,34526510.0,ns,6460
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,34584513.0,ns,6650
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,34496907.0,ns,6840
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,36775779.0,ns,7030
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,38477208.0,ns,7220
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,39534088.0,ns,7410
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,40650773.0,ns,7600
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,40815184.0,ns,7790
group__orbit__orbit_vs_factored_dihedral,factored_transversal,32,,,42380103.0,ns,7980
