group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,988580.0,ns,679
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,1963260.0,ns,1358
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,2954442.0,ns,2037
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,3930021.0,ns,2716
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,4915502.0,ns,3395
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,5902383.0,ns,4074
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,6880962.0,ns,4753
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,7855542.0,ns,5432
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,8864324.0,ns,6111
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,9820203.0,ns,6790
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,10810983.0,ns,7469
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,11804364.0,ns,8148
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,12770244.0,ns,8827
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,13743823.0,ns,9506
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,14777307.0,ns,10185
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,15721185.0,ns,10864
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,16720367.0,ns,11543
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,17708847.0,ns,12222
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,18682027.0,ns,12901
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,19655806.0,ns,13580
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,20669889.0,ns,14259
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,21608865.0,ns,14938
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,22620048.0,ns,15617
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,23599529.0,ns,16296
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,24574408.0,ns,16975
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,25550788.0,ns,17654
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,26585072.0,ns,18333
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,27500647.0,ns,19012
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,28505529.0,ns,19691
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,29515712.0,ns,20370
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,30487492.0,ns,21049
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,31424368.0,ns,21728
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,32536359.0,ns,22407
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,33565743.0,ns,23086
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,34502219.0,ns,23765
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,35393892.0,ns,24444
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,36382673.0,ns,25123
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,37328151.0,ns,25802
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,38399337.0,ns,26481
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,39295310.0,ns,27160
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,40298592.0,ns,27839
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,41316675.0,ns,28518
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,42298755.0,ns,29197
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,43228531.0,ns,29876
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,44301119.0,ns,30555
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,45177591.0,ns,31234
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,46222776.0,ns,31913
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,47217357.0,ns,32592
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,48179836.0,ns,33271
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,49180418.0,ns,33950
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,50338812.0,ns,34629
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,51377097.0,ns,35308
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,52163361.0,ns,35987
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,53119140.0,ns,36666
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,54089519.0,ns,37345
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,55005793.0,ns,38024
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,56105683.0,ns,38703
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,56949652.0,ns,39382
group__orbit__orbit_vs_factored_dihedral,factored_transversal,8,,,58026040.0,ns,40061
