group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,989680.0,ns,221
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,1986959.0,ns,442
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,2973438.0,ns,663
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,3963617.0,ns,884
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,4951596.0,ns,1105
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,5942576.0,ns,1326
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,6958857.0,ns,1547
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,7942135.0,ns,1768
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,8941616.0,ns,1989
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,9920794.0,ns,2210
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,10958677.0,ns,2431
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,11921255.0,ns,2652
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,12901933.0,ns,2873
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,13901413.0,ns,3094
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,14893592.0,ns,3315
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,15891772.0,ns,3536
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,16883952.0,ns,3757
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,17873330.0,ns,3978
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,18837608.0,ns,4199
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,19859590.0,ns,4420
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,20847069.0,ns,4641
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,21859250.0,ns,4862
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,22832028.0,ns,5083
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,23817806.0,ns,5304
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,24790685.0,ns,5525
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,25798965.0,ns,5746
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,26758241.0,ns,5967
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,27765322.0,ns,6188
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,28765602.0,ns,6409
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,29781783.0,ns,6630
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,30719659.0,ns,6851
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,31711337.0,ns,7072
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,32758422.0,ns,7293
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,33748701.0,ns,7514
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,34751281.0,ns,7735
