group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,1002875.0,ns,242
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,1721528.0,ns,484
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,2978823.0,ns,726
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,3693676.0,ns,968
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,4402928.0,ns,1210
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,5334099.0,ns,1452
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,6278269.0,ns,1694
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,8102405.0,ns,1936
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,8979770.0,ns,2178
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,9977845.0,ns,2420
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,10498884.0,ns,2662
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,12017398.0,ns,2904
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,13058275.0,ns,3146
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,14049649.0,ns,3388
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,15035023.0,ns,3630
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,15984593.0,ns,3872
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,17051373.0,ns,4114
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,17999044.0,ns,4356
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,18950815.0,ns,4598
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,20081600.0,ns,4840
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,20771051.0,ns,5082
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,22280364.0,ns,5324
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,23138727.0,ns,5566
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,23789276.0,ns,5808
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,25072772.0,ns,6050
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,25886933.0,ns,6292
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,27151627.0,ns,6534
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,27149027.0,ns,6776
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,28563233.0,ns,7018
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,29488201.0,ns,7260
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,30233558.0,ns,7502
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,29992040.0,ns,7744
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,32958661.0,ns,7986
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,32316712.0,ns,8228
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,34426171.0,ns,8470
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,35776671.0,ns,8712
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,36447121.0,ns,8954
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,37773720.0,ns,9196
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,37860627.0,ns,9438
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,38937707.0,ns,9680
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,41082467.0,ns,9922
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,41830323.0,ns,10164
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,41882427.0,ns,10406
group__orbit__orbit_vs_factored_dihedral,orbit,32,,,43599256.0,ns,10648
