group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,1015477.0,ns,197
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,2022053.0,ns,394
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,3035229.0,ns,591
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,4015304.0,ns,788
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,4858068.0,ns,985
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,5839242.0,ns,1182
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,6821017.0,ns,1379
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,7736186.0,ns,1576
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,9104889.0,ns,1773
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,9314805.0,ns,1970
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,11040136.0,ns,2167
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,11199848.0,ns,2364
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,13152996.0,ns,2561
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,13661634.0,ns,2758
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,14881526.0,ns,2955
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,15213951.0,ns,3152
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,16554653.0,ns,3349
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,17939358.0,ns,3546
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,18951635.0,ns,3743
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,19828901.0,ns,3940
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,21306613.0,ns,4137
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,21300312.0,ns,4334
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,22827028.0,ns,4531
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,23351667.0,ns,4728
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,24097324.0,ns,4925
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,25871558.0,ns,5122
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,26682019.0,ns,5319
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,27060648.0,ns,5516
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,28278241.0,ns,5713
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,29699348.0,ns,5910
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,31267767.0,ns,6107
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,31223163.0,ns,6304
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,33111906.0,ns,6501
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,34129883.0,ns,6698
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,34797434.0,ns,6895
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,35476885.0,ns,7092
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,37373328.0,ns,7289
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,38091583.0,ns,7486
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,39150263.0,ns,7683
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,40050532.0,ns,7880
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,41227221.0,ns,8077
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,42337605.0,ns,8274
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,43369082.0,ns,8471
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,42079585.0,ns,8668
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,44569174.0,ns,8865
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,45562849.0,ns,9062
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,46270302.0,ns,9259
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,46685134.0,ns,9456
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,49300831.0,ns,9653
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,50225102.0,ns,9850
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,50516624.0,ns,10047
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,51275782.0,ns,10244
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,52806397.0,ns,10441
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,53619858.0,ns,10638
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,54503625.0,ns,10835
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,55521802.0,ns,11032
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,56302660.0,ns,11229
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,57332439.0,ns,11426
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,58719244.0,ns,11623
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,59556207.0,ns,11820
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,59409896.0,ns,12017
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,61268136.0,ns,12214
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,62031693.0,ns,12411
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,63561310.0,ns,12608
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,62726047.0,ns,12805
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,64196358.0,ns,13002
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,67046274.0,ns,13199
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,67762928.0,ns,13396
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,69743478.0,ns,13593
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,69536962.0,ns,13790
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,71235690.0,ns,13987
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,70212113.0,ns,14184
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,72580792.0,ns,14381
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,72513887.0,ns,14578
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,73328649.0,ns,14775
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,74783159.0,ns,14972
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,76286573.0,ns,15169
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,78323127.0,ns,15366
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,78714356.0,ns,15563
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,78604748.0,ns,15760
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,79547619.0,ns,15957
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,81966102.0,ns,16154
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,82837969.0,ns,16351
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,84769315.0,ns,16548
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,85298555.0,ns,16745
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,85825295.0,ns,16942
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,87214900.0,ns,17139
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,88291281.0,ns,17336
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,88058263.0,ns,17533
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,89829397.0,ns,17730
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,91442220.0,ns,17927
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,90494748.0,ns,18124
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,92841925.0,ns,18321
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,92091169.0,ns,18518
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,94229631.0,ns,18715
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,95082095.0,ns,18912
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,97328464.0,ns,19109
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,95585633.0,ns,19306
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,99072697.0,ns,19503
group__orbit__orbit_vs_factored_dihedral,transversal,16,,,100377295.0,ns,19700
