group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,997278.0,ns,30
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,1989957.0,ns,60
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,2992935.0,ns,90
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,3985514.0,ns,120
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,4980791.0,ns,150
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,5973970.0,ns,180
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,6980749.0,ns,210
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,7973327.0,ns,240
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,8963605.0,ns,270
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,9952083.0,ns,300
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,10957961.0,ns,330
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,11944740.0,ns,360
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,12943718.0,ns,390
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,13953297.0,ns,420
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,14947375.0,ns,450
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,15942054.0,ns,480
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,16915331.0,ns,510
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,17921210.0,ns,540
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,18935089.0,ns,570
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,19933468.0,ns,600
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,20910944.0,ns,630
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,21918124.0,ns,660
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,22906601.0,ns,690
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,23918581.0,ns,720
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,24901559.0,ns,750
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,25895336.0,ns,780
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,26887315.0,ns,810
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,27878092.0,ns,840
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,28872771.0,ns,870
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,29865749.0,ns,900
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,30867327.0,ns,930
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,31871807.0,ns,960
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,32849883.0,ns,990
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,33876664.0,ns,1020
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,34854441.0,ns,1050
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,35881422.0,ns,1080
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,36844698.0,ns,1110
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,37867477.0,ns,1140
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,38862756.0,ns,1170
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,39854034.0,ns,1200
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,40848111.0,ns,1230
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,41837890.0,ns,1260
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,42856470.0,ns,1290
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,43835346.0,ns,1320
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,44827125.0,ns,1350
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,45840304.0,ns,1380
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,46822782.0,ns,1410
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,47830660.0,ns,1440
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,48792937.0,ns,1470
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,49857420.0,ns,1500
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,50826196.0,ns,1530
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,51809774.0,ns,1560
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,52773749.0,ns,1590
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,53830233.0,ns,1620
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,54811609.0,ns,1650
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,55800488.0,ns,1680
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,56788865.0,ns,1710
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,57764242.0,ns,1740
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,58803023.0,ns,1770
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,59761798.0,ns,1800
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,60781178.0,ns,1830
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,61797757.0,ns,1860
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,62764834.0,ns,1890
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,63792315.0,ns,1920
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,64752390.0,ns,1950
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,65751969.0,ns,1980
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,66807351.0,ns,2010
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,67766427.0,ns,2040
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,68774507.0,ns,2070
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,69738882.0,ns,2100
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,70713558.0,ns,2130
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,71708137.0,ns,2160
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,72721617.0,ns,2190
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,73716093.0,ns,2220
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,74732473.0,ns,2250
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,75800358.0,ns,2280
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,76729630.0,ns,2310
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,77739310.0,ns,2340
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,78724387.0,ns,2370
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,79745167.0,ns,2400
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,80681041.0,ns,2430
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,81768526.0,ns,2460
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,82728001.0,ns,2490
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,83727880.0,ns,2520
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,84663153.0,ns,2550
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,85679733.0,ns,2580
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,86641607.0,ns,2610
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,87666288.0,ns,2640
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,88669767.0,ns,2670
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,89663045.0,ns,2700
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,90670124.0,ns,2730
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,91661402.0,ns,2760
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,92726786.0,ns,2790
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,93691161.0,ns,2820
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,94644237.0,ns,2850
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,95667716.0,ns,2880
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,96572488.0,ns,2910
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,97708775.0,ns,2940
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,98819763.0,ns,2970
group__orbit__orbit_vs_factored_dihedral,transversal,64,,,99719334.0,ns,3000
