group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,998985.0,ns,354
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,1992970.0,ns,708
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,2990655.0,ns,1062
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,3984940.0,ns,1416
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,4977925.0,ns,1770
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,5967909.0,ns,2124
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,6967495.0,ns,2478
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,7970980.0,ns,2832
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,8959864.0,ns,3186
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,9954849.0,ns,3540
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,10946234.0,ns,3894
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,11948119.0,ns,4248
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,12932003.0,ns,4602
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,13942190.0,ns,4956
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,14935574.0,ns,5310
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,15976863.0,ns,5664
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,16918343.0,ns,6018
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,17913928.0,ns,6372
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,18918613.0,ns,6726
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,19916898.0,ns,7080
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,20915884.0,ns,7434
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,21888067.0,ns,7788
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,22904654.0,ns,8142
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,23885137.0,ns,8496
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,24887523.0,ns,8850
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,25879908.0,ns,9204
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,26878593.0,ns,9558
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,27905080.0,ns,9912
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,28979872.0,ns,10266
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,29968856.0,ns,10620
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,30885634.0,ns,10974
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,31858718.0,ns,11328
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,32854402.0,ns,11682
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,33909892.0,ns,12036
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,34960481.0,ns,12390
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,35885360.0,ns,12744
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,36871044.0,ns,13098
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,37976538.0,ns,13452
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,38948621.0,ns,13806
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,39947206.0,ns,14160
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,40979994.0,ns,14514
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,41815565.0,ns,14868
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,42964763.0,ns,15222
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,43873241.0,ns,15576
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,44829622.0,ns,15930
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,45807505.0,ns,16284
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,46785989.0,ns,16638
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,47797075.0,ns,16992
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,48841265.0,ns,17346
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,49788545.0,ns,17700
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,50753728.0,ns,18054
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,51761213.0,ns,18408
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,52761798.0,ns,18762
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,53749483.0,ns,19116
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,54741268.0,ns,19470
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,55724550.0,ns,19824
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,56742936.0,ns,20178
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,57756623.0,ns,20532
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,58756608.0,ns,20886
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,59846401.0,ns,21240
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,60909992.0,ns,21594
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,61905776.0,ns,21948
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,62783151.0,ns,22302
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,63692929.0,ns,22656
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,64665111.0,ns,23010
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,65686498.0,ns,23364
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,66708986.0,ns,23718
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,67679069.0,ns,24072
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,68666952.0,ns,24426
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,69773747.0,ns,24780
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,70851439.0,ns,25134
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,71912227.0,ns,25488
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,72757999.0,ns,25842
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,74027507.0,ns,26196
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,74671962.0,ns,26550
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,75667247.0,ns,26904
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,76637330.0,ns,27258
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,77638015.0,ns,27612
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,78645401.0,ns,27966
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,79835702.0,ns,28320
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,80652872.0,ns,28674
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,81936181.0,ns,29028
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,82620740.0,ns,29382
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,83634926.0,ns,29736
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,84640209.0,ns,30090
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,85677797.0,ns,30444
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,86771591.0,ns,30798
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,87821880.0,ns,31152
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,88706555.0,ns,31506
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,89683739.0,ns,31860
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,90604017.0,ns,32214
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,91572399.0,ns,32568
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,92578485.0,ns,32922
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,93657677.0,ns,33276
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,94802675.0,ns,33630
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,95805457.0,ns,33984
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,96570922.0,ns,34338
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,97524903.0,ns,34692
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,98559991.0,ns,35046
group__orbit__orbit_vs_factored_symmetric,factored_transversal,16,,,99539475.0,ns,35400
