group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,1003476.0,ns,192
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,1988051.0,ns,384
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,3151439.0,ns,576
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,4165016.0,ns,768
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,5213395.0,ns,960
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,6306978.0,ns,1152
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,7160142.0,ns,1344
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,8237024.0,ns,1536
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,9417613.0,ns,1728
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,10040860.0,ns,1920
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,11549075.0,ns,2112
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,11737789.0,ns,2304
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,13519524.0,ns,2496
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,14203176.0,ns,2688
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,14763018.0,ns,2880
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,15906105.0,ns,3072
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,17519926.0,ns,3264
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,18115871.0,ns,3456
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,19706692.0,ns,3648
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,19904807.0,ns,3840
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,20469250.0,ns,4032
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,23001842.0,ns,4224
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,23988116.0,ns,4416
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,25104100.0,ns,4608
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,25623340.0,ns,4800
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,27143655.0,ns,4992
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,27843908.0,ns,5184
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,29326521.0,ns,5376
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,30063376.0,ns,5568
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,31209663.0,ns,5760
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,31288969.0,ns,5952
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,32448256.0,ns,6144
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,34187488.0,ns,6336
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,34719129.0,ns,6528
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,36011827.0,ns,6720
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,37490839.0,ns,6912
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,38791737.0,ns,7104
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,39935124.0,ns,7296
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,40886895.0,ns,7488
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,40787588.0,ns,7680
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,41686056.0,ns,7872
group__orbit__orbit_vs_factored_symmetric,factored_transversal,32,,,43733611.0,ns,8064
