group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,990775.0,ns,474
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,1981949.0,ns,948
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,2970624.0,ns,1422
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,3956199.0,ns,1896
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,4949075.0,ns,2370
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,5945350.0,ns,2844
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,6962127.0,ns,3318
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,7952302.0,ns,3792
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,8883672.0,ns,4266
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,9996456.0,ns,4740
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,10932527.0,ns,5214
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,11972406.0,ns,5688
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,12773866.0,ns,6162
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,13902751.0,ns,6636
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,14758716.0,ns,7110
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,15884902.0,ns,7584
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,16863076.0,ns,8058
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,17942758.0,ns,8532
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,18869828.0,ns,9006
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,19864403.0,ns,9480
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,20891080.0,ns,9954
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,21911057.0,ns,10428
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,22843928.0,ns,10902
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,23769598.0,ns,11376
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,24676767.0,ns,11850
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,25735647.0,ns,12324
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,26250686.0,ns,12798
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,27564286.0,ns,13272
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,28550860.0,ns,13746
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,29764852.0,ns,14220
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,30555112.0,ns,14694
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,31774204.0,ns,15168
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,32561164.0,ns,15642
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,33906865.0,ns,16116
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,34652922.0,ns,16590
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,35824610.0,ns,17064
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,36749080.0,ns,17538
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,37427732.0,ns,18012
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,38810836.0,ns,18486
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,39655000.0,ns,18960
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,40710480.0,ns,19434
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,41717356.0,ns,19908
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,42833941.0,ns,20382
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,43849517.0,ns,20856
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,44813490.0,ns,21330
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,45717559.0,ns,21804
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,46786840.0,ns,22278
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,47745812.0,ns,22752
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,48535071.0,ns,23226
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,49608053.0,ns,23700
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,50474119.0,ns,24174
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,51777617.0,ns,24648
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,52632382.0,ns,25122
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,53679561.0,ns,25596
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,54852349.0,ns,26070
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,55470296.0,ns,26544
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,56469773.0,ns,27018
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,57489649.0,ns,27492
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,58299310.0,ns,27966
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,59577708.0,ns,28440
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,60501077.0,ns,28914
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,61032018.0,ns,29388
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,62585335.0,ns,29862
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,63230683.0,ns,30336
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,64236559.0,ns,30810
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,65317541.0,ns,31284
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,66676645.0,ns,31758
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,65529658.0,ns,32232
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,68459679.0,ns,32706
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,69163033.0,ns,33180
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,69649269.0,ns,33654
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,71006472.0,ns,34128
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,71923341.0,ns,34602
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,73432756.0,ns,35076
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,74510937.0,ns,35550
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,75349001.0,ns,36024
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,75574117.0,ns,36498
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,77372853.0,ns,36972
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,78502639.0,ns,37446
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,79435909.0,ns,37920
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,80477889.0,ns,38394
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,81429261.0,ns,38868
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,82475439.0,ns,39342
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,83439112.0,ns,39816
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,84004855.0,ns,40290
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,85426763.0,ns,40764
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,86490344.0,ns,41238
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,87496419.0,ns,41712
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,88398487.0,ns,42186
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,88406589.0,ns,42660
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,90313032.0,ns,43134
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,91372612.0,ns,43608
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,92440193.0,ns,44082
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,93233854.0,ns,44556
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,94485348.0,ns,45030
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,94400141.0,ns,45504
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,95673438.0,ns,45978
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,97518577.0,ns,46452
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,98295336.0,ns,46926
group__orbit__orbit_vs_factored_symmetric,orbit,16,,,99159602.0,ns,47400
