group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,872067.0,ns,186
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,1896844.0,ns,372
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,2928723.0,ns,558
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,3996904.0,ns,744
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,4974278.0,ns,930
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,5782239.0,ns,1116
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,7057836.0,ns,1302
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,7973705.0,ns,1488
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,9030186.0,ns,1674
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,9862750.0,ns,1860
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,10892427.0,ns,2046
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,11971210.0,ns,2232
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,12859977.0,ns,2418
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,13517026.0,ns,2604
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,14624510.0,ns,2790
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,15120848.0,ns,2976
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,16740072.0,ns,3162
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,17819253.0,ns,3348
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,18963040.0,ns,3534
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,19751100.0,ns,3720
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,20914788.0,ns,3906
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,20825882.0,ns,4092
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,21638144.0,ns,4278
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,23340673.0,ns,4464
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,25021200.0,ns,4650
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,25193513.0,ns,4836
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,26062080.0,ns,5022
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,27933622.0,ns,5208
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,29082009.0,ns,5394
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,28259546.0,ns,5580
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,29943274.0,ns,5766
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,30526519.0,ns,5952
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,31566098.0,ns,6138
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,32161142.0,ns,6324
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,33740662.0,ns,6510
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,35561601.0,ns,6696
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,35715513.0,ns,6882
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,36215950.0,ns,7068
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,38453620.0,ns,7254
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,39286683.0,ns,7440
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,40765296.0,ns,7626
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,41579958.0,ns,7812
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,41889982.0,ns,7998
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,42244309.0,ns,8184
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,44258962.0,ns,8370
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,43915135.0,ns,8556
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,46480130.0,ns,8742
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,46570037.0,ns,8928
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,47560813.0,ns,9114
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,49138632.0,ns,9300
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,50578442.0,ns,9486
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,50104306.0,ns,9672
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,52313773.0,ns,9858
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,53810387.0,ns,10044
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,54495439.0,ns,10230
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,55985052.0,ns,10416
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,56133763.0,ns,10602
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,56808615.0,ns,10788
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,56439187.0,ns,10974
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,59426614.0,ns,11160
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,61129943.0,ns,11346
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,61801794.0,ns,11532
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,59716735.0,ns,11718
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,60768716.0,ns,11904
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,62458444.0,ns,12090
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,65175651.0,ns,12276
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,63947757.0,ns,12462
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,66879380.0,ns,12648
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,66958185.0,ns,12834
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,69453075.0,ns,13020
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,70233735.0,ns,13206
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,69762495.0,ns,13392
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,71502522.0,ns,13578
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,72530901.0,ns,13764
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,74434445.0,ns,13950
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,74334837.0,ns,14136
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,74402343.0,ns,14322
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,76979038.0,ns,14508
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,75502826.0,ns,14694
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,79159603.0,ns,14880
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,80053071.0,ns,15066
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,81632391.0,ns,15252
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,83078301.0,ns,15438
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,83794055.0,ns,15624
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,84925341.0,ns,15810
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,85941018.0,ns,15996
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,84995046.0,ns,16182
group__orbit__orbit_vs_factored_symmetric,transversal,16,,,87184112.0,ns,16368
