group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,1026378.0,ns,77
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,1971650.0,ns,154
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,3022229.0,ns,231
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,4052907.0,ns,308
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,4768961.0,ns,385
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,6031756.0,ns,462
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,7098837.0,ns,539
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,8118514.0,ns,616
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,9131691.0,ns,693
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,10162368.0,ns,770
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,11027034.0,ns,847
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,11653081.0,ns,924
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,13030685.0,ns,1001
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,14070364.0,ns,1078
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,15176848.0,ns,1155
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,16020111.0,ns,1232
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,16538351.0,ns,1309
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,17645134.0,ns,1386
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,17968359.0,ns,1463
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,20096020.0,ns,1540
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,20338938.0,ns,1617
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,21615235.0,ns,1694
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,22254983.0,ns,1771
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,23187254.0,ns,1848
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,24648165.0,ns,1925
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,25366418.0,ns,2002
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,26797727.0,ns,2079
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,26561209.0,ns,2156
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,28799479.0,ns,2233
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,30002469.0,ns,2310
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,30973842.0,ns,2387
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,32102328.0,ns,2464
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,33019197.0,ns,2541
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,34097479.0,ns,2618
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,35387677.0,ns,2695
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,36040526.0,ns,2772
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,37147410.0,ns,2849
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,38181188.0,ns,2926
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,38785333.0,ns,3003
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,40387955.0,ns,3080
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,39948822.0,ns,3157
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,40612772.0,ns,3234
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,42883744.0,ns,3311
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,44510267.0,ns,3388
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,45379832.0,ns,3465
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,46483315.0,ns,3542
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,47520694.0,ns,3619
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,46771438.0,ns,3696
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,48281452.0,ns,3773
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,50192497.0,ns,3850
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,49839669.0,ns,3927
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,52707286.0,ns,4004
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,53099616.0,ns,4081
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,54194899.0,ns,4158
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,55597505.0,ns,4235
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,56097943.0,ns,4312
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,55781319.0,ns,4389
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,58117695.0,ns,4466
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,59527002.0,ns,4543
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,60345665.0,ns,4620
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,61388843.0,ns,4697
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,62460524.0,ns,4774
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,63486002.0,ns,4851
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,64020842.0,ns,4928
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,64347866.0,ns,5005
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,65439949.0,ns,5082
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,67221184.0,ns,5159
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,67899236.0,ns,5236
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,69281240.0,ns,5313
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,70809456.0,ns,5390
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,71667121.0,ns,5467
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,71803331.0,ns,5544
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,73098129.0,ns,5621
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,73144732.0,ns,5698
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,74816759.0,ns,5775
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,76286270.0,ns,5852
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,76723103.0,ns,5929
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,76406178.0,ns,6006
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,78650148.0,ns,6083
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,78928570.0,ns,6160
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,81276149.0,ns,6237
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,80975826.0,ns,6314
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,82847368.0,ns,6391
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,84779214.0,ns,6468
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,85563973.0,ns,6545
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,86293728.0,ns,6622
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,86908375.0,ns,6699
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,88155369.0,ns,6776
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,89587378.0,ns,6853
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,90916779.0,ns,6930
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,91456519.0,ns,7007
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,92856325.0,ns,7084
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,92246379.0,ns,7161
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,93994212.0,ns,7238
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,94116021.0,ns,7315
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,94264732.0,ns,7392
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,97588483.0,ns,7469
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,98459249.0,ns,7546
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,98590459.0,ns,7623
group__orbit__orbit_vs_factored_symmetric,transversal,32,,,99542732.0,ns,7700
