group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,1000372.0,ns,244
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,2044248.0,ns,488
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,2970916.0,ns,732
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,4015192.0,ns,976
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,5018365.0,ns,1220
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,6019337.0,ns,1464
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,7027710.0,ns,1708
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,8066685.0,ns,1952
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,9052457.0,ns,2196
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,10034829.0,ns,2440
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,11043002.0,ns,2684
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,12144381.0,ns,2928
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,13123652.0,ns,3172
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,14029318.0,ns,3416
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,14995788.0,ns,3660
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,15943557.0,ns,3904
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,17090141.0,ns,4148
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,18076312.0,ns,4392
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,19156390.0,ns,4636
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,19980750.0,ns,4880
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,21034427.0,ns,5124
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,22026299.0,ns,5368
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,23172882.0,ns,5612
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,24189556.0,ns,5856
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,25143325.0,ns,6100
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,26046390.0,ns,6344
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,27032462.0,ns,6588
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,28138943.0,ns,6832
group__orbit__orbit_vs_optmized_orbit_complete,orbit,32,,,29039408.0,ns,7076
