group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,1009379.0,ns,124
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,2005758.0,ns,248
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,3056541.0,ns,372
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,3570581.0,ns,496
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,4833780.0,ns,620
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,5733051.0,ns,744
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,6805236.0,ns,868
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,7875020.0,ns,992
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,9054413.0,ns,1116
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,9962685.0,ns,1240
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,11060470.0,ns,1364
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,11924839.0,ns,1488
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,12908316.0,ns,1612
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,14024404.0,ns,1736
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,15183296.0,ns,1860
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,16079866.0,ns,1984
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,16939534.0,ns,2108
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,18049821.0,ns,2232
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,18282739.0,ns,2356
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,19644947.0,ns,2480
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,20747033.0,ns,2604
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,21744412.0,ns,2728
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,22818396.0,ns,2852
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,23958287.0,ns,2976
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,24818954.0,ns,3100
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,24935764.0,ns,3224
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,26511588.0,ns,3348
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,26888017.0,ns,3472
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,29063589.0,ns,3596
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,29622233.0,ns,3720
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,31051145.0,ns,3844
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,31402872.0,ns,3968
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,33085705.0,ns,4092
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,33535940.0,ns,4216
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,34914149.0,ns,4340
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,35751815.0,ns,4464
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,36867502.0,ns,4588
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,37681967.0,ns,4712
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,38736350.0,ns,4836
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,39791632.0,ns,4960
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,40612798.0,ns,5084
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,41683382.0,ns,5208
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,42760466.0,ns,5332
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,43144697.0,ns,5456
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,45280665.0,ns,5580
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,45529284.0,ns,5704
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,46640072.0,ns,5828
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,48026482.0,ns,5952
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,49014260.0,ns,6076
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,49740817.0,ns,6200
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,49692412.0,ns,6324
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,49636608.0,ns,6448
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,52337521.0,ns,6572
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,53590520.0,ns,6696
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,55169643.0,ns,6820
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,54890922.0,ns,6944
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,56085116.0,ns,7068
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,56799772.0,ns,7192
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,57066093.0,ns,7316
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,57382218.0,ns,7440
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,60630274.0,ns,7564
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,61391734.0,ns,7688
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,62324307.0,ns,7812
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,64174352.0,ns,7936
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,65260439.0,ns,8060
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,64641789.0,ns,8184
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,65341744.0,ns,8308
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,65964294.0,ns,8432
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,67912347.0,ns,8556
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,69600479.0,ns,8680
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,70813876.0,ns,8804
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,71492128.0,ns,8928
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,71887159.0,ns,9052
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,72678823.0,ns,9176
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,73235966.0,ns,9300
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,73877817.0,ns,9424
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,76302407.0,ns,9548
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,78133152.0,ns,9672
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,78389172.0,ns,9796
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,77911835.0,ns,9920
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,80011799.0,ns,10044
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,80252219.0,ns,10168
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,82152868.0,ns,10292
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,84511053.0,ns,10416
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,85101501.0,ns,10540
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,85629241.0,ns,10664
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,87219767.0,ns,10788
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,85092000.0,ns,10912
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,87874918.0,ns,11036
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,89568252.0,ns,11160
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,89557951.0,ns,11284
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,91257385.0,ns,11408
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,90818150.0,ns,11532
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,94409334.0,ns,11656
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,94671853.0,ns,11780
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,94871370.0,ns,11904
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,95744238.0,ns,12028
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,97419670.0,ns,12152
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,98838482.0,ns,12276
group__orbit__orbit_vs_optmized_orbit_complete,orbit,64,,,99411727.0,ns,12400
