group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,991471.0,ns,507
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,1980742.0,ns,1014
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,2979813.0,ns,1521
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,3953683.0,ns,2028
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,4963655.0,ns,2535
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,5934124.0,ns,3042
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,6947797.0,ns,3549
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,7899564.0,ns,4056
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,8930638.0,ns,4563
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,9882006.0,ns,5070
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,10911580.0,ns,5577
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,11861948.0,ns,6084
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,12908023.0,ns,6591
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,13822588.0,ns,7098
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,14888864.0,ns,7605
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,15813330.0,ns,8112
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,16860905.0,ns,8619
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,17790071.0,ns,9126
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,18866748.0,ns,9633
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,19744911.0,ns,10140
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,20836189.0,ns,10647
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,21732553.0,ns,11154
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,22835531.0,ns,11661
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,23709494.0,ns,12168
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,24830374.0,ns,12675
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,25675634.0,ns,13182
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,26780414.0,ns,13689
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,27658577.0,ns,14196
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,28772056.0,ns,14703
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,29615216.0,ns,15210
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,30788000.0,ns,15717
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,31616159.0,ns,16224
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,32744340.0,ns,16731
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,33579699.0,ns,17238
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,34727881.0,ns,17745
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,35562041.0,ns,18252
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,36727924.0,ns,18759
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,37539083.0,ns,19266
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,38692965.0,ns,19773
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,39524524.0,ns,20280
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,40685607.0,ns,20787
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,41495265.0,ns,21294
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,42741754.0,ns,21801
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,43471006.0,ns,22308
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,44688292.0,ns,22815
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,45461348.0,ns,23322
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,46664334.0,ns,23829
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,47464891.0,ns,24336
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,48629175.0,ns,24843
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,49427632.0,ns,25350
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,50616517.0,ns,25857
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,51394772.0,ns,26364
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,52767770.0,ns,26871
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,53411816.0,ns,27378
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,54577700.0,ns,27885
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,55299551.0,ns,28392
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,56551740.0,ns,28899
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,57298894.0,ns,29406
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,58553983.0,ns,29913
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,59307837.0,ns,30420
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,60590629.0,ns,30927
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,61261377.0,ns,31434
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,62536268.0,ns,31941
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,63222917.0,ns,32448
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,64511509.0,ns,32955
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,65220660.0,ns,33462
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,66496351.0,ns,33969
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,67174399.0,ns,34476
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,68474792.0,ns,34983
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,69139040.0,ns,35490
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,70477535.0,ns,35997
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,71146383.0,ns,36504
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,72448776.0,ns,37011
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,73083922.0,ns,37518
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,74436918.0,ns,38025
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,75086264.0,ns,38532
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,76438761.0,ns,39039
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,77167013.0,ns,39546
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,78453404.0,ns,40053
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,79072849.0,ns,40560
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,80379443.0,ns,41067
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,80968484.0,ns,41574
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,82394586.0,ns,42081
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,82998930.0,ns,42588
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,84335825.0,ns,43095
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,84960270.0,ns,43602
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,86336968.0,ns,44109
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,86939210.0,ns,44616
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,88351011.0,ns,45123
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,89089464.0,ns,45630
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,90325253.0,ns,46137
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,90848790.0,ns,46644
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,92302894.0,ns,47151
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,92870434.0,ns,47658
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,94302937.0,ns,48165
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,94828475.0,ns,48672
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,96252576.0,ns,49179
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,96812316.0,ns,49686
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,98309023.0,ns,50193
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit,8,,,98792757.0,ns,50700
