group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,947272.0,ns,293
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,1851439.0,ns,586
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,2955523.0,ns,879
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,4067407.0,ns,1172
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,5010078.0,ns,1465
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,6040356.0,ns,1758
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,7065133.0,ns,2051
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,7996904.0,ns,2344
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,9088486.0,ns,2637
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,10126265.0,ns,2930
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,11082937.0,ns,3223
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,12075411.0,ns,3516
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,12939176.0,ns,3809
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,13814643.0,ns,4102
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,15120441.0,ns,4395
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,16151219.0,ns,4688
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,16400837.0,ns,4981
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,17430016.0,ns,5274
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,18857324.0,ns,5567
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,20061014.0,ns,5860
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,20723564.0,ns,6153
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,21676236.0,ns,6446
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,22182075.0,ns,6739
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,23998912.0,ns,7032
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,23851601.0,ns,7325
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,25390517.0,ns,7618
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,26976036.0,ns,7911
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,27453672.0,ns,8204
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,28300436.0,ns,8497
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,29491426.0,ns,8790
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,30615711.0,ns,9083
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,32076621.0,ns,9376
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,32612861.0,ns,9669
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,33589635.0,ns,9962
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,34138377.0,ns,10255
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,35804903.0,ns,10548
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,36894184.0,ns,10841
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,38166181.0,ns,11134
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,38398899.0,ns,11427
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,40033721.0,ns,11720
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,40255438.0,ns,12013
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,41001395.0,ns,12306
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,41821057.0,ns,12599
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,43187960.0,ns,12892
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,44693573.0,ns,13185
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,44565364.0,ns,13478
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,46051275.0,ns,13771
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,47493985.0,ns,14064
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,48951694.0,ns,14357
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,49135809.0,ns,14650
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,50559816.0,ns,14943
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,51866514.0,ns,15236
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,52793985.0,ns,15529
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,54094583.0,ns,15822
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,55448985.0,ns,16115
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,55257771.0,ns,16408
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,54775034.0,ns,16701
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,56857991.0,ns,16994
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,57579346.0,ns,17287
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,60175041.0,ns,17580
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,59646702.0,ns,17873
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,61472640.0,ns,18166
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,62675830.0,ns,18459
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,64410262.0,ns,18752
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,65232224.0,ns,19045
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,66388611.0,ns,19338
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,66821944.0,ns,19631
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,67920926.0,ns,19924
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,68816594.0,ns,20217
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,70487620.0,ns,20510
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,71146170.0,ns,20803
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,71626907.0,ns,21096
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,72294657.0,ns,21389
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,73571453.0,ns,21682
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,74693037.0,ns,21975
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,73580854.0,ns,22268
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,76319960.0,ns,22561
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,76572779.0,ns,22854
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,77620659.0,ns,23147
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,77502749.0,ns,23440
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,77263732.0,ns,23733
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,81724469.0,ns,24026
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,80050342.0,ns,24319
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,83007265.0,ns,24612
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,83864730.0,ns,24905
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,83490901.0,ns,25198
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,86247810.0,ns,25491
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,87580910.0,ns,25784
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,88600587.0,ns,26077
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,88520581.0,ns,26370
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,90309416.0,ns,26663
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,88015243.0,ns,26956
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,92182757.0,ns,27249
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,92770902.0,ns,27542
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,92785503.0,ns,27835
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,94753752.0,ns,28128
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,97168134.0,ns,28421
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,98956269.0,ns,28714
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,98994071.0,ns,29007
group__orbit__orbit_vs_optmized_orbit_complete_many_gens,orbit_optmized,32,,,99788332.0,ns,29300
