group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,1002476.0,ns,247
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,2015152.0,ns,494
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,3012928.0,ns,741
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,4025404.0,ns,988
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,5015379.0,ns,1235
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,6030856.0,ns,1482
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,7004030.0,ns,1729
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,8010306.0,ns,1976
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,8911075.0,ns,2223
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,9997357.0,ns,2470
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,11073638.0,ns,2717
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,11912001.0,ns,2964
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,13101991.0,ns,3211
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,14092766.0,ns,3458
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,15008735.0,ns,3705
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,15843398.0,ns,3952
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,17061190.0,ns,4199
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,17979460.0,ns,4446
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,19068742.0,ns,4693
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,19680289.0,ns,4940
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,21019590.0,ns,5187
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,22076870.0,ns,5434
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,22787723.0,ns,5681
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,23939211.0,ns,5928
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,24772374.0,ns,6175
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,25874357.0,ns,6422
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,27126152.0,ns,6669
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,28101326.0,ns,6916
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,29210710.0,ns,7163
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,30192884.0,ns,7410
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,31178059.0,ns,7657
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,32090827.0,ns,7904
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,33230914.0,ns,8151
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,34194587.0,ns,8398
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,35275968.0,ns,8645
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,36248842.0,ns,8892
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,36964596.0,ns,9139
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,37919668.0,ns,9386
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,39167763.0,ns,9633
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,40162538.0,ns,9880
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,41307125.0,ns,10127
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,41699554.0,ns,10374
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,42956249.0,ns,10621
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,43848217.0,ns,10868
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,44989503.0,ns,11115
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,46239497.0,ns,11362
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,47197670.0,ns,11609
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,48368859.0,ns,11856
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,49154918.0,ns,12103
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,49933077.0,ns,12350
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,51303181.0,ns,12597
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,52431266.0,ns,12844
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,53310733.0,ns,13091
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,52929094.0,ns,13338
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,55177264.0,ns,13585
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,55810511.0,ns,13832
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,57170814.0,ns,14079
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,58339302.0,ns,14326
group__orbit__orbit_vs_optmized_orbit_uncomplete,orbit_optmized,32,,,59312076.0,ns,14573
