group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,1021474.0,ns,10
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,2027248.0,ns,20
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,3047923.0,ns,30
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,4060397.0,ns,40
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,5077571.0,ns,50
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,6092745.0,ns,60
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,7108320.0,ns,70
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,8116693.0,ns,80
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,9138867.0,ns,90
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,10149341.0,ns,100
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,11176316.0,ns,110
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,12182990.0,ns,120
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,13200165.0,ns,130
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,14208538.0,ns,140
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,15245114.0,ns,150
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,16240087.0,ns,160
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,17255361.0,ns,170
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,18276136.0,ns,180
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,19286809.0,ns,190
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,20302883.0,ns,200
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,21342259.0,ns,210
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,22349433.0,ns,220
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,23358606.0,ns,230
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,24374681.0,ns,240
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,25376054.0,ns,250
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,26405229.0,ns,260
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,27435405.0,ns,270
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,28428278.0,ns,280
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,29457352.0,ns,290
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,30457625.0,ns,300
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,31480000.0,ns,310
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,32492474.0,ns,320
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,33544551.0,ns,330
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,34518822.0,ns,340
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,35550897.0,ns,350
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,36547970.0,ns,360
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,37581946.0,ns,370
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,38600020.0,ns,380
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,39618794.0,ns,390
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,40606866.0,ns,400
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,41635242.0,ns,410
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,42666317.0,ns,420
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,43673091.0,ns,430
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,44682364.0,ns,440
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,45714440.0,ns,450
group__orbit__transversal_vs_factored_cyclic,factored_transversal,32,,,46713712.0,ns,460
