group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,1000174.0,ns,71
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,1977546.0,ns,142
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,2970220.0,ns,213
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,3971994.0,ns,284
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,4952967.0,ns,355
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,5944640.0,ns,426
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,7002618.0,ns,497
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,7876582.0,ns,568
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,8837254.0,ns,639
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,9868130.0,ns,710
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,10918507.0,ns,781
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,11595257.0,ns,852
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,12803446.0,ns,923
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,13471296.0,ns,994
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,14627081.0,ns,1065
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,15748264.0,ns,1136
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,16387712.0,ns,1207
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,15681660.0,ns,1278
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,18181345.0,ns,1349
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,18660180.0,ns,1420
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,20182393.0,ns,1491
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,20952950.0,ns,1562
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,22431359.0,ns,1633
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,22832688.0,ns,1704
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,23824562.0,ns,1775
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,24032077.0,ns,1846
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,26203138.0,ns,1917
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,27873162.0,ns,1988
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,27306720.0,ns,2059
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,29309068.0,ns,2130
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,30724072.0,ns,2201
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,30650867.0,ns,2272
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,32534006.0,ns,2343
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,33541780.0,ns,2414
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,34405844.0,ns,2485
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,33859304.0,ns,2556
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,36566305.0,ns,2627
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,37542977.0,ns,2698
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,38390164.0,ns,2769
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,39316344.0,ns,2840
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,40032598.0,ns,2911
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,40534135.0,ns,2982
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,42267665.0,ns,3053
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,43416551.0,ns,3124
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,44386523.0,ns,3195
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,45298492.0,ns,3266
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,44435027.0,ns,3337
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,46160456.0,ns,3408
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,47683370.0,ns,3479
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,49132179.0,ns,3550
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,49916338.0,ns,3621
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,51262239.0,ns,3692
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,52249413.0,ns,3763
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,52767751.0,ns,3834
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,52377922.0,ns,3905
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,55099226.0,ns,3976
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,55784478.0,ns,4047
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,56851557.0,ns,4118
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,58246462.0,ns,4189
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,59242536.0,ns,4260
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,59905486.0,ns,4331
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,60732548.0,ns,4402
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,61380496.0,ns,4473
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,61358194.0,ns,4544
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,63700870.0,ns,4615
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,63773375.0,ns,4686
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,65647415.0,ns,4757
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,66810303.0,ns,4828
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,66233060.0,ns,4899
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,67278338.0,ns,4970
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,67918486.0,ns,5041
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,69040369.0,ns,5112
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,71676167.0,ns,5183
group__orbit__transversal_vs_factored_cyclic,transversal,32,,,71394246.0,ns,5254
