group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,1017574.0,ns,29
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,2020747.0,ns,58
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,3036821.0,ns,87
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,4037094.0,ns,116
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,5053368.0,ns,145
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,6060541.0,ns,174
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,7076615.0,ns,203
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,8080988.0,ns,232
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,9080461.0,ns,261
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,10105535.0,ns,290
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,11112608.0,ns,319
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,12099581.0,ns,348
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,13121954.0,ns,377
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,14144630.0,ns,406
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,15137102.0,ns,435
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,16182377.0,ns,464
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,17179450.0,ns,493
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,18163622.0,ns,522
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,19186396.0,ns,551
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,20222671.0,ns,580
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,21182641.0,ns,609
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,22219717.0,ns,638
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,23225890.0,ns,667
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,24234463.0,ns,696
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,25299041.0,ns,725
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,26276412.0,ns,754
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,27303887.0,ns,783
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,28273957.0,ns,812
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,29307833.0,ns,841
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,30310405.0,ns,870
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,31323179.0,ns,899
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,32312351.0,ns,928
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,33444633.0,ns,957
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,34368501.0,ns,986
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,35510783.0,ns,1015
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,36369146.0,ns,1044
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,37375020.0,ns,1073
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,38380192.0,ns,1102
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,39371965.0,ns,1131
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,40377437.0,ns,1160
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,41390912.0,ns,1189
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,42426987.0,ns,1218
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,43386456.0,ns,1247
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,44432733.0,ns,1276
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,45462608.0,ns,1305
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,46453480.0,ns,1334
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,47504157.0,ns,1363
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,48455525.0,ns,1392
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,49471800.0,ns,1421
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,50570079.0,ns,1450
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,51515948.0,ns,1479
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,52490219.0,ns,1508
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,53544496.0,ns,1537
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,54529967.0,ns,1566
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,55533140.0,ns,1595
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,56611118.0,ns,1624
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,57523885.0,ns,1653
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,58545059.0,ns,1682
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,59610537.0,ns,1711
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,60631711.0,ns,1740
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,61562679.0,ns,1769
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,62639657.0,ns,1798
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,63543423.0,ns,1827
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,64592800.0,ns,1856
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,65726281.0,ns,1885
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,66603246.0,ns,1914
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,67735428.0,ns,1943
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,68711499.0,ns,1972
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,69691570.0,ns,2001
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,70782949.0,ns,2030
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,71787623.0,ns,2059
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,72617083.0,ns,2088
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,73724663.0,ns,2117
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,74760739.0,ns,2146
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,75875520.0,ns,2175
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,76755784.0,ns,2204
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,77732855.0,ns,2233
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,78746329.0,ns,2262
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,79824807.0,ns,2291
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,80824180.0,ns,2320
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,81669941.0,ns,2349
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,82770121.0,ns,2378
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,83728690.0,ns,2407
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,84695161.0,ns,2436
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,85901648.0,ns,2465
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,86785012.0,ns,2494
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,87896494.0,ns,2523
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,88845362.0,ns,2552
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,89844735.0,ns,2581
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,90908213.0,ns,2610
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,91845481.0,ns,2639
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,92835453.0,ns,2668
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,93763920.0,ns,2697
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,94893602.0,ns,2726
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,95869073.0,ns,2755
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,97010256.0,ns,2784
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,97962325.0,ns,2813
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,98888992.0,ns,2842
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,99917167.0,ns,2871
group__orbit__transversal_vs_factored_cyclic,transversal,64,,,100917040.0,ns,2900
