group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,1168188.0,ns,4
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,2418281.0,ns,8
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,3659875.0,ns,12
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,4795360.0,ns,16
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,6100258.0,ns,20
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,7418357.0,ns,24
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,8477937.0,ns,28
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,9701928.0,ns,32
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,10966623.0,ns,36
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,12146212.0,ns,40
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,13015777.0,ns,44
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,14494288.0,ns,48
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,15624273.0,ns,52
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,17103584.0,ns,56
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,18327076.0,ns,60
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,19423158.0,ns,64
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,20486938.0,ns,68
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,21913045.0,ns,72
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,23259346.0,ns,76
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,24237320.0,ns,80
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,25602822.0,ns,84
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,26810413.0,ns,88
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,28325827.0,ns,92
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,29406608.0,ns,96
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,30480289.0,ns,100
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,31787887.0,ns,104
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,32978876.0,ns,108
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,34207669.0,ns,112
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,35372156.0,ns,116
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,36653152.0,ns,120
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,37973751.0,ns,124
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,39052132.0,ns,128
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,40273624.0,ns,132
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,41452012.0,ns,136
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,42697306.0,ns,140
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,43918097.0,ns,144
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,45112988.0,ns,148
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,46394984.0,ns,152
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,47531969.0,ns,156
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,48873270.0,ns,160
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,50004554.0,ns,164
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,51273750.0,ns,168
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,52433437.0,ns,172
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,53716933.0,ns,176
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,54866719.0,ns,180
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,56422537.0,ns,184
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,57331905.0,ns,188
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,58547596.0,ns,192
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,59836493.0,ns,196
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,60977479.0,ns,200
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,62400785.0,ns,204
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,63420262.0,ns,208
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,64482842.0,ns,212
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,66226772.0,ns,216
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,67187445.0,ns,220
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,68592550.0,ns,224
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,69712434.0,ns,228
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,70954628.0,ns,232
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,70889923.0,ns,236
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,73408512.0,ns,240
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,74413987.0,ns,244
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,75634579.0,ns,248
