group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,1177887.0,ns,4
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,2347773.0,ns,8
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,3538661.0,ns,12
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,4686946.0,ns,16
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,5837530.0,ns,20
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,7032919.0,ns,24
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,8186403.0,ns,28
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,9361191.0,ns,32
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,10602782.0,ns,36
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,11730065.0,ns,40
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,12874449.0,ns,44
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,14117541.0,ns,48
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,15251725.0,ns,52
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,16365607.0,ns,56
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,17652502.0,ns,60
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,18763384.0,ns,64
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,19868866.0,ns,68
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,21176862.0,ns,72
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,22304445.0,ns,76
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,23383325.0,ns,80
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,24711522.0,ns,84
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,25787301.0,ns,88
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,26884682.0,ns,92
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,28232082.0,ns,96
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,29316062.0,ns,100
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,30403642.0,ns,104
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,31830648.0,ns,108
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,32832121.0,ns,112
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,33957704.0,ns,116
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,35255200.0,ns,120
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,36351280.0,ns,124
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,37414059.0,ns,128
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,38840264.0,ns,132
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,39860439.0,ns,136
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,40899916.0,ns,140
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,42328121.0,ns,144
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,43440902.0,ns,148
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,44440477.0,ns,152
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,45907585.0,ns,156
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,46907959.0,ns,160
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,47919933.0,ns,164
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,49407543.0,ns,168
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,50450920.0,ns,172
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,51440692.0,ns,176
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,53022009.0,ns,180
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,53928676.0,ns,184
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,54935251.0,ns,188
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,56468063.0,ns,192
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,57476437.0,ns,196
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,58432608.0,ns,200
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,60019126.0,ns,204
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,60977896.0,ns,208
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,61957368.0,ns,212
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,63525984.0,ns,216
group__orbit__transversal_vs_factored_dihedral,factored_transversal,64,,,64543858.0,ns,220
