group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,1030774.0,ns,172
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,2021444.0,ns,344
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,3075219.0,ns,516
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,4056389.0,ns,688
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,4965854.0,ns,860
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,6090534.0,ns,1032
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,7164311.0,ns,1204
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,7990570.0,ns,1376
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,9025143.0,ns,1548
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,10124122.0,ns,1720
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,11071389.0,ns,1892
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,12073560.0,ns,2064
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,13256545.0,ns,2236
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,14331022.0,ns,2408
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,15205184.0,ns,2580
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,16322563.0,ns,2752
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,16953308.0,ns,2924
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,18408712.0,ns,3096
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,19138965.0,ns,3268
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,20441158.0,ns,3440
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,20692375.0,ns,3612
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,22151780.0,ns,3784
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,23438771.0,ns,3956
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,23864202.0,ns,4128
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,24789167.0,ns,4300
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,26206668.0,ns,4472
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,27102932.0,ns,4644
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,27395053.0,ns,4816
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,28800854.0,ns,4988
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,29357493.0,ns,5160
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,31328034.0,ns,5332
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,31654557.0,ns,5504
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,33320875.0,ns,5676
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,34185437.0,ns,5848
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,35471129.0,ns,6020
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,36209282.0,ns,6192
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,37235355.0,ns,6364
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,38662556.0,ns,6536
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,39349805.0,ns,6708
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,40214367.0,ns,6880
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,41756577.0,ns,7052
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,41714474.0,ns,7224
