group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,985773.0,ns,147
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,1964245.0,ns,294
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,2939918.0,ns,441
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,3908090.0,ns,588
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,4938166.0,ns,735
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,5868835.0,ns,882
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,6849908.0,ns,1029
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,7841881.0,ns,1176
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,8891059.0,ns,1323
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,9790026.0,ns,1470
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,10766298.0,ns,1617
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,11769972.0,ns,1764
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,12819150.0,ns,1911
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,13703416.0,ns,2058
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,14689789.0,ns,2205
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,15667161.0,ns,2352
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,16770943.0,ns,2499
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,17600904.0,ns,2646
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,18601779.0,ns,2793
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,19564250.0,ns,2940
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,20685134.0,ns,3087
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,21786915.0,ns,3234
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,22513169.0,ns,3381
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,23484640.0,ns,3528
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,24654127.0,ns,3675
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,25461387.0,ns,3822
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,26444560.0,ns,3969
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,27430433.0,ns,4116
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,28642223.0,ns,4263
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,29368277.0,ns,4410
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,30381052.0,ns,4557
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,31330322.0,ns,4704
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,32514810.0,ns,4851
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,33244864.0,ns,4998
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,34316944.0,ns,5145
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,35242312.0,ns,5292
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,36525807.0,ns,5439
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,37143053.0,ns,5586
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,38199431.0,ns,5733
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,39124700.0,ns,5880
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,40415596.0,ns,6027
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,41105147.0,ns,6174
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,42086720.0,ns,6321
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,43174500.0,ns,6468
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,44507699.0,ns,6615
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,44991135.0,ns,6762
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,46010810.0,ns,6909
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,47012984.0,ns,7056
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,48306280.0,ns,7203
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,48929626.0,ns,7350
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,49912999.0,ns,7497
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,50859369.0,ns,7644
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,52328078.0,ns,7791
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,52792813.0,ns,7938
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,53874793.0,ns,8085
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,54797861.0,ns,8232
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,56230167.0,ns,8379
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,56783209.0,ns,8526
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,57812185.0,ns,8673
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,58814559.0,ns,8820
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,60176959.0,ns,8967
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,60650195.0,ns,9114
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,61797080.0,ns,9261
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,62847757.0,ns,9408
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,64152154.0,ns,9555
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,64611088.0,ns,9702
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,65639064.0,ns,9849
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,66667140.0,ns,9996
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,68004340.0,ns,10143
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,68473474.0,ns,10290
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,69523652.0,ns,10437
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,70566929.0,ns,10584
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,72142046.0,ns,10731
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,72548876.0,ns,10878
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,73451643.0,ns,11025
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,74391013.0,ns,11172
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,75982731.0,ns,11319
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,76269051.0,ns,11466
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,77311129.0,ns,11613
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,78467214.0,ns,11760
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,79839215.0,ns,11907
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,80218643.0,ns,12054
group__orbit__transversal_vs_factored_dihedral,transversal,16,,,81306624.0,ns,12201
