group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,993875.0,ns,39
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,1996850.0,ns,78
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,2992225.0,ns,117
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,3981100.0,ns,156
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,4976976.0,ns,195
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,5971851.0,ns,234
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,7001629.0,ns,273
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,7966301.0,ns,312
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,8961176.0,ns,351
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,9955252.0,ns,390
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,10982529.0,ns,429
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,11949402.0,ns,468
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,12924676.0,ns,507
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,13948853.0,ns,546
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,14970130.0,ns,585
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,15928803.0,ns,624
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,16911376.0,ns,663
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,17923552.0,ns,702
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,18977932.0,ns,741
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,19925004.0,ns,780
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,20896277.0,ns,819
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,21908854.0,ns,858
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,22981535.0,ns,897
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,23908104.0,ns,936
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,24856576.0,ns,975
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,25913456.0,ns,1014
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,26976636.0,ns,1053
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,27878704.0,ns,1092
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,28845877.0,ns,1131
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,29893856.0,ns,1170
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,30974638.0,ns,1209
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,31858504.0,ns,1248
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,32842978.0,ns,1287
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,33853955.0,ns,1326
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,34965538.0,ns,1365
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,35855205.0,ns,1404
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,36802877.0,ns,1443
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,37836756.0,ns,1482
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,38969141.0,ns,1521
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,39814705.0,ns,1560
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,40796379.0,ns,1599
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,41846758.0,ns,1638
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,42950341.0,ns,1677
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,43803006.0,ns,1716
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,44781180.0,ns,1755
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,45770554.0,ns,1794
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,46979946.0,ns,1833
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,47815608.0,ns,1872
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,48747678.0,ns,1911
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,49798958.0,ns,1950
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,50943545.0,ns,1989
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,51757806.0,ns,2028
group__orbit__transversal_vs_factored_symmetric,factored_transversal,16,,,52726779.0,ns,2067
