group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,1065180.0,ns,2
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,2120259.0,ns,4
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,3188939.0,ns,6
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,4252518.0,ns,8
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,5311097.0,ns,10
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,6371577.0,ns,12
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,7431156.0,ns,14
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,8494136.0,ns,16
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,9593818.0,ns,18
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,10611394.0,ns,20
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,11683875.0,ns,22
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,12746454.0,ns,24
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,13801133.0,ns,26
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,14883714.0,ns,28
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,15920391.0,ns,30
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,17003073.0,ns,32
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,18109855.0,ns,34
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,19110730.0,ns,36
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,20195812.0,ns,38
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,21236789.0,ns,40
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,22279468.0,ns,42
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,23355848.0,ns,44
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,24418727.0,ns,46
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,25506709.0,ns,48
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,26632494.0,ns,50
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,27604566.0,ns,52
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,28651944.0,ns,54
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,29715724.0,ns,56
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,30751901.0,ns,58
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,31834482.0,ns,60
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,32912963.0,ns,62
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,33972943.0,ns,64
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,35143730.0,ns,66
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,36135105.0,ns,68
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,37142780.0,ns,70
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,38222760.0,ns,72
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,39244138.0,ns,74
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,40335618.0,ns,76
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,41478105.0,ns,78
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,42440976.0,ns,80
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,43667568.0,ns,82
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,44570835.0,ns,84
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,45643016.0,ns,86
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,46768800.0,ns,88
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,47731072.0,ns,90
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,48840955.0,ns,92
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,49879332.0,ns,94
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,50947613.0,ns,96
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,52194506.0,ns,98
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,53072171.0,ns,100
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,54143752.0,ns,102
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,55195130.0,ns,104
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,56210607.0,ns,106
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,57403095.0,ns,108
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,58376169.0,ns,110
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,59463649.0,ns,112
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,60689742.0,ns,114
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,61553806.0,ns,116
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,62719294.0,ns,118
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,63674264.0,ns,120
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,64800548.0,ns,122
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,65942333.0,ns,124
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,66839701.0,ns,126
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,68014889.0,ns,128
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,69196577.0,ns,130
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,70066343.0,ns,132
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,71077318.0,ns,134
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,72144598.0,ns,136
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,73204577.0,ns,138
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,74290159.0,ns,140
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,75372339.0,ns,142
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,76402417.0,ns,144
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,77724615.0,ns,146
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,78642784.0,ns,148
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,79579553.0,ns,150
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,80697837.0,ns,152
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,81668210.0,ns,154
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,82770592.0,ns,156
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,83973882.0,ns,158
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,84878650.0,ns,160
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,86235451.0,ns,162
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,87031711.0,ns,164
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,88078290.0,ns,166
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,89279979.0,ns,168
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,90141643.0,ns,170
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,91294329.0,ns,172
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,92316405.0,ns,174
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,93379385.0,ns,176
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,94773289.0,ns,178
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,95508644.0,ns,180
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,96608627.0,ns,182
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,97637303.0,ns,184
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,98623577.0,ns,186
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,99885472.0,ns,188
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,100828942.0,ns,190
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,101928524.0,ns,192
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,103298426.0,ns,194
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,104006478.0,ns,196
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,105221070.0,ns,198
group__orbit__transversal_vs_factored_symmetric,factored_transversal,64,,,106123837.0,ns,200
