group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,1091777.0,ns,28
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,2070146.0,ns,56
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,3111220.0,ns,84
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,4193997.0,ns,112
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,5175666.0,ns,140
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,6223339.0,ns,168
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,7029396.0,ns,196
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,7648840.0,ns,224
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,9271255.0,ns,252
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,10310528.0,ns,280
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,10757460.0,ns,308
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,12389175.0,ns,336
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,13092725.0,ns,364
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,14159500.0,ns,392
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,15449491.0,ns,420
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,16351355.0,ns,448
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,17214316.0,ns,476
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,17277420.0,ns,504
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,19748395.0,ns,532
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,20800969.0,ns,560
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,21460316.0,ns,588
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,22716604.0,ns,616
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,23179836.0,ns,644
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,24709145.0,ns,672
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,25459298.0,ns,700
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,26680084.0,ns,728
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,26723688.0,ns,756
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,28861839.0,ns,784
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,28448109.0,ns,812
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,30253036.0,ns,840
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,31342313.0,ns,868
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,33139240.0,ns,896
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,32537598.0,ns,924
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,35055875.0,ns,952
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,35810029.0,ns,980
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,36619486.0,ns,1008
group__orbit__transversal_vs_factored_symmetric,transversal,64,,,38162095.0,ns,1036
