group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,995570.0,ns,456
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,1978840.0,ns,912
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,2973209.0,ns,1368
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,3960079.0,ns,1824
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,4947749.0,ns,2280
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,5945919.0,ns,2736
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,6924488.0,ns,3192
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,7921659.0,ns,3648
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,8915928.0,ns,4104
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,9897098.0,ns,4560
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,10889568.0,ns,5016
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,11882137.0,ns,5472
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,12885808.0,ns,5928
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,13855777.0,ns,6384
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,14855147.0,ns,6840
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,15896120.0,ns,7296
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,16842687.0,ns,7752
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,17826957.0,ns,8208
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,18916033.0,ns,8664
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,19894302.0,ns,9120
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,20881871.0,ns,9576
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,21881042.0,ns,10032
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,22866012.0,ns,10488
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,23874483.0,ns,10944
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,24832050.0,ns,11400
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,25861823.0,ns,11856
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,26838292.0,ns,12312
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,27847863.0,ns,12768
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,28826532.0,ns,13224
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,29833703.0,ns,13680
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,30735766.0,ns,14136
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,32323678.0,ns,14592
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,32822114.0,ns,15048
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,33654272.0,ns,15504
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,34633642.0,ns,15960
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,35636311.0,ns,16416
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,36614580.0,ns,16872
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,37620651.0,ns,17328
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,38600021.0,ns,17784
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,39595491.0,ns,18240
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,40666867.0,ns,18696
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,41748542.0,ns,19152
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,42757514.0,ns,19608
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,43593973.0,ns,20064
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,44728053.0,ns,20520
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,45701121.0,ns,20976
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,46604585.0,ns,21432
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,47607756.0,ns,21888
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,48638428.0,ns,22344
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,49538892.0,ns,22800
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,50474858.0,ns,23256
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,51504630.0,ns,23712
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,52484700.0,ns,24168
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,53565175.0,ns,24624
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,54450038.0,ns,25080
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,55446008.0,ns,25536
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,56426477.0,ns,25992
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,57424047.0,ns,26448
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,58420718.0,ns,26904
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,59655804.0,ns,27360
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,60531466.0,ns,27816
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,61563639.0,ns,28272
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,62405599.0,ns,28728
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,63358866.0,ns,29184
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,64327834.0,ns,29640
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,65341805.0,ns,30096
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,66450084.0,ns,30552
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,67384049.0,ns,31008
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,68388720.0,ns,31464
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,69441594.0,ns,31920
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,70515670.0,ns,32376
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,71500239.0,ns,32832
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,72352699.0,ns,33288
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,73370271.0,ns,33744
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,74445947.0,ns,34200
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,75392414.0,ns,34656
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,76294877.0,ns,35112
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,77221342.0,ns,35568
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,78175810.0,ns,36024
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,79273887.0,ns,36480
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,80184151.0,ns,36936
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,81371435.0,ns,37392
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,82174491.0,ns,37848
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,83443780.0,ns,38304
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,84165831.0,ns,38760
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,85178003.0,ns,39216
group__orbit__transversal_vs_optmized_transversal_complete,transversal,8,,,86200775.0,ns,39672
