group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,1024872.0,ns,33
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,2028542.0,ns,66
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,3035814.0,ns,99
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,4064185.0,ns,132
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,5048255.0,ns,165
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,6081127.0,ns,198
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,7090199.0,ns,231
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,8101069.0,ns,264
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,9120841.0,ns,297
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,10133612.0,ns,330
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,11135083.0,ns,363
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,12088849.0,ns,396
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,13174026.0,ns,429
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,14172096.0,ns,462
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,15199568.0,ns,495
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,16143835.0,ns,528
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,17207609.0,ns,561
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,18044168.0,ns,594
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,19195149.0,ns,627
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,20280326.0,ns,660
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,21238092.0,ns,693
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,22349271.0,ns,726
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,23268935.0,ns,759
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,24196001.0,ns,792
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,25407385.0,ns,825
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,26188341.0,ns,858
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,27339721.0,ns,891
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,28337392.0,ns,924
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,29330161.0,ns,957
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,30281929.0,ns,990
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,31341702.0,ns,1023
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,32485883.0,ns,1056
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,33248737.0,ns,1089
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,34507725.0,ns,1122
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,35401288.0,ns,1155
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,36403659.0,ns,1188
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,37358325.0,ns,1221
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,38440902.0,ns,1254
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,39349065.0,ns,1287
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,40389439.0,ns,1320
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,41350606.0,ns,1353
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,42466985.0,ns,1386
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,43352346.0,ns,1419
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,44523429.0,ns,1452
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,45211178.0,ns,1485
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,46503868.0,ns,1518
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,47447935.0,ns,1551
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,48447805.0,ns,1584
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,49519480.0,ns,1617
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,50536352.0,ns,1650
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,51261202.0,ns,1683
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,52643200.0,ns,1716
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,53415054.0,ns,1749
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,54626239.0,ns,1782
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,55486800.0,ns,1815
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,56589877.0,ns,1848
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,57513542.0,ns,1881
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,58605718.0,ns,1914
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,59561886.0,ns,1947
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,60684765.0,ns,1980
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,61289007.0,ns,2013
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,62708307.0,ns,2046
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,63266747.0,ns,2079
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,64787453.0,ns,2112
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,65594510.0,ns,2145
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,66791194.0,ns,2178
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,67588450.0,ns,2211
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,68685728.0,ns,2244
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,69581890.0,ns,2277
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,64,,,70773774.0,ns,2310
