group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,1033678.0,ns,560
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,1962049.0,ns,1120
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,3063432.0,ns,1680
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,4084809.0,ns,2240
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,5063183.0,ns,2800
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,6152265.0,ns,3360
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,7127940.0,ns,3920
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,8207321.0,ns,4480
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,9171894.0,ns,5040
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,10199572.0,ns,5600
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,11181647.0,ns,6160
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,12245726.0,ns,6720
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,13110192.0,ns,7280
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,14137270.0,ns,7840
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,14927230.0,ns,8400
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,16261630.0,ns,8960
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,17213703.0,ns,9520
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,18057367.0,ns,10080
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,18973236.0,ns,10640
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,20299136.0,ns,11200
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,21315613.0,ns,11760
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,22412897.0,ns,12320
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,23389070.0,ns,12880
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,24267936.0,ns,13440
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,25325717.0,ns,14000
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,26386997.0,ns,14560
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,27281165.0,ns,15120
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,28278140.0,ns,15680
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,29531935.0,ns,16240
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,30379499.0,ns,16800
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,31655095.0,ns,17360
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,32607267.0,ns,17920
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,33233815.0,ns,18480
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,34583818.0,ns,19040
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,35795909.0,ns,19600
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,36726079.0,ns,20160
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,37726355.0,ns,20720
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,38808137.0,ns,21280
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,39681903.0,ns,21840
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,40718382.0,ns,22400
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,41360730.0,ns,22960
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,42639027.0,ns,23520
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,43745710.0,ns,24080
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,44809791.0,ns,24640
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,45603451.0,ns,25200
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,46875447.0,ns,25760
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,47701409.0,ns,26320
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,48804794.0,ns,26880
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,49503346.0,ns,27440
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,50761642.0,ns,28000
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,51845323.0,ns,28560
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,52904804.0,ns,29120
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,53918180.0,ns,29680
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,53649059.0,ns,30240
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,55499000.0,ns,30800
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,56355564.0,ns,31360
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,58134299.0,ns,31920
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,58939360.0,ns,32480
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,59630613.0,ns,33040
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,60706394.0,ns,33600
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,61191231.0,ns,34160
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,62326317.0,ns,34720
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,63327892.0,ns,35280
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,65032722.0,ns,35840
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,66112303.0,ns,36400
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,67013980.0,ns,36960
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,68184870.0,ns,37520
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,68989730.0,ns,38080
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,69416363.0,ns,38640
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,70150319.0,ns,39200
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,71366211.0,ns,39760
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,73410767.0,ns,40320
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,73511274.0,ns,40880
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,74898579.0,ns,41440
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,75835250.0,ns,42000
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,77197353.0,ns,42560
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,77899606.0,ns,43120
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,78620361.0,ns,43680
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,80234083.0,ns,44240
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,80922936.0,ns,44800
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,81422574.0,ns,45360
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,81256161.0,ns,45920
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,84112978.0,ns,46480
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,85102553.0,ns,47040
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,85189759.0,ns,47600
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,86106929.0,ns,48160
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,88286294.0,ns,48720
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,89004649.0,ns,49280
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,90253943.0,ns,49840
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,91423231.0,ns,50400
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,92433108.0,ns,50960
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,91828663.0,ns,51520
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,93598097.0,ns,52080
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,95241721.0,ns,52640
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,96736334.0,ns,53200
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,96849444.0,ns,53760
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,95540044.0,ns,54320
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,98378559.0,ns,54880
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,100544323.0,ns,55440
group__orbit__transversal_vs_optmized_transversal_complete,transversal_optmized,8,,,101545900.0,ns,56000
