group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,1003378.0,ns,393
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,1986756.0,ns,786
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,2944232.0,ns,1179
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,3864205.0,ns,1572
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,4983392.0,ns,1965
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,5969670.0,ns,2358
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,6994351.0,ns,2751
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,7942425.0,ns,3144
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,8973407.0,ns,3537
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,9975185.0,ns,3930
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,10943461.0,ns,4323
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,11833331.0,ns,4716
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,12933218.0,ns,5109
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,13800886.0,ns,5502
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,14304925.0,ns,5895
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,15839546.0,ns,6288
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,16745418.0,ns,6681
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,17949013.0,ns,7074
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,18953592.0,ns,7467
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,19709251.0,ns,7860
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,20471511.0,ns,8253
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,21604700.0,ns,8646
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,22239050.0,ns,9039
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,23947885.0,ns,9432
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,24727646.0,ns,9825
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,24534931.0,ns,10218
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,26219364.0,ns,10611
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,28011604.0,ns,11004
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,28543946.0,ns,11397
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,29618131.0,ns,11790
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,30612509.0,ns,12183
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,31544782.0,ns,12576
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,32657770.0,ns,12969
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,33612445.0,ns,13362
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,34402007.0,ns,13755
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,34349903.0,ns,14148
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,36476770.0,ns,14541
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,37168324.0,ns,14934
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,38778251.0,ns,15327
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,39743927.0,ns,15720
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,40755708.0,ns,16113
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,41717183.0,ns,16506
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,42864873.0,ns,16899
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,43765044.0,ns,17292
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,44813826.0,ns,17685
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,45691895.0,ns,18078
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,46694374.0,ns,18471
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,47739856.0,ns,18864
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,48770437.0,ns,19257
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,49524197.0,ns,19650
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,50669188.0,ns,20043
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,51659965.0,ns,20436
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,52573737.0,ns,20829
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,53628220.0,ns,21222
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,54390280.0,ns,21615
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,55488567.0,ns,22008
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,56756466.0,ns,22401
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,57681639.0,ns,22794
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,58739222.0,ns,23187
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,59472980.0,ns,23580
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,60757081.0,ns,23973
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,61671354.0,ns,24366
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,62303703.0,ns,24759
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,63613806.0,ns,25152
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,64561081.0,ns,25545
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,65642466.0,ns,25938
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,66553937.0,ns,26331
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,66637143.0,ns,26724
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,68569195.0,ns,27117
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,68172865.0,ns,27510
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,70359637.0,ns,27903
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,71519928.0,ns,28296
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,72413698.0,ns,28689
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,72969042.0,ns,29082
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,73598391.0,ns,29475
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,74864891.0,ns,29868
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,74787985.0,ns,30261
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,74522565.0,ns,30654
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,77524700.0,ns,31047
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,75129712.0,ns,31440
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,76664633.0,ns,31833
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,78483876.0,ns,32226
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,80948770.0,ns,32619
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,79700672.0,ns,33012
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,81281697.0,ns,33405
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,84042813.0,ns,33798
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,84799373.0,ns,34191
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,85732947.0,ns,34584
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,88007625.0,ns,34977
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,89869572.0,ns,35370
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,90469019.0,ns,35763
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,90412215.0,ns,36156
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,91654113.0,ns,36549
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,91883030.0,ns,36942
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,93247338.0,ns,37335
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,95438310.0,ns,37728
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,95740834.0,ns,38121
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,96570405.0,ns,38514
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,97329857.0,ns,38907
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal,8,,,98237822.0,ns,39300
