group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,1017172.0,ns,50
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,2046344.0,ns,100
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,3006011.0,ns,150
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,4042385.0,ns,200
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,5099859.0,ns,250
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,6047825.0,ns,300
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,7107600.0,ns,350
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,7339716.0,ns,400
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,8907327.0,ns,450
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,9758286.0,ns,500
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,10958371.0,ns,550
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,11729525.0,ns,600
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,13143625.0,ns,650
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,14131794.0,ns,700
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,15241172.0,ns,750
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,16158437.0,ns,800
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,17119704.0,ns,850
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,18332389.0,ns,900
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,19308958.0,ns,950
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,19946503.0,ns,1000
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,20521144.0,ns,1050
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,21777432.0,ns,1100
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,23505653.0,ns,1150
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,24156999.0,ns,1200
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,25049562.0,ns,1250
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,25869820.0,ns,1300
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,26944295.0,ns,1350
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,28209884.0,ns,1400
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,28980938.0,ns,1450
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,30265029.0,ns,1500
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,31431111.0,ns,1550
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,32330174.0,ns,1600
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,33651567.0,ns,1650
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,34512328.0,ns,1700
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,35620105.0,ns,1750
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,36680580.0,ns,1800
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,37696651.0,ns,1850
