group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,1009071.0,ns,45
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,2011941.0,ns,90
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,3032213.0,ns,135
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,4022282.0,ns,180
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,5042753.0,ns,225
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,6038323.0,ns,270
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,7064296.0,ns,315
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,8036563.0,ns,360
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,9077136.0,ns,405
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,10068206.0,ns,450
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,11109679.0,ns,495
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,12146451.0,ns,540
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,13113519.0,ns,585
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,14077587.0,ns,630
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,15219066.0,ns,675
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,16133830.0,ns,720
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,17137301.0,ns,765
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,18130471.0,ns,810
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,19163843.0,ns,855
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,20086908.0,ns,900
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,21194386.0,ns,945
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,22130951.0,ns,990
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,23172924.0,ns,1035
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,24110690.0,ns,1080
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,25204167.0,ns,1125
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,26183235.0,ns,1170
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,27225208.0,ns,1215
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,28142373.0,ns,1260
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,29249850.0,ns,1305
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,30171315.0,ns,1350
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,31263991.0,ns,1395
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,32149453.0,ns,1440
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,33274532.0,ns,1485
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,34214598.0,ns,1530
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,35288174.0,ns,1575
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,36164635.0,ns,1620
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,37291913.0,ns,1665
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,38242881.0,ns,1710
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,39343657.0,ns,1755
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,40216918.0,ns,1800
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,41309996.0,ns,1845
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,42317566.0,ns,1890
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,43357839.0,ns,1935
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,44229400.0,ns,1980
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,45404482.0,ns,2025
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,46246042.0,ns,2070
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,47361319.0,ns,2115
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,48205278.0,ns,2160
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,49425764.0,ns,2205
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,50318027.0,ns,2250
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,51434805.0,ns,2295
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,52278764.0,ns,2340
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,53393343.0,ns,2385
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,54309306.0,ns,2430
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,55510691.0,ns,2475
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,56271744.0,ns,2520
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,57460227.0,ns,2565
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,58393392.0,ns,2610
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,59452967.0,ns,2655
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,60326029.0,ns,2700
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,61496310.0,ns,2745
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,62382072.0,ns,2790
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,63577756.0,ns,2835
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,64318808.0,ns,2880
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,65497391.0,ns,2925
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,66461158.0,ns,2970
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,67548234.0,ns,3015
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,68396494.0,ns,3060
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,69623780.0,ns,3105
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,70426136.0,ns,3150
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,71522913.0,ns,3195
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,72399975.0,ns,3240
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,73586757.0,ns,3285
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,74395914.0,ns,3330
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,75620500.0,ns,3375
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,76367052.0,ns,3420
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,77632241.0,ns,3465
group__orbit__transversal_vs_optmized_transversal_complete_many_gens,transversal_optmized,64,,,78544105.0,ns,3510
