group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,1025172.0,ns,31
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,2040144.0,ns,62
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,3058916.0,ns,93
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,4089488.0,ns,124
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,5119061.0,ns,155
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,6091929.0,ns,186
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,7114901.0,ns,217
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,8192377.0,ns,248
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,9102140.0,ns,279
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,10182617.0,ns,310
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,11164686.0,ns,341
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,12117353.0,ns,372
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,13198929.0,ns,403
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,14214701.0,ns,434
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,15278675.0,ns,465
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,15855116.0,ns,496
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,17084103.0,ns,527
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,18287688.0,ns,558
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,19286258.0,ns,589
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,20332732.0,ns,620
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,21322502.0,ns,651
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,22336773.0,ns,682
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,23400247.0,ns,713
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,24412019.0,ns,744
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,25384787.0,ns,775
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,26358055.0,ns,806
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,27434831.0,ns,837
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,28457004.0,ns,868
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,29539880.0,ns,899
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,30480946.0,ns,930
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,31473816.0,ns,961
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,32460186.0,ns,992
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,33211138.0,ns,1023
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,34258612.0,ns,1054
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,35580805.0,ns,1085
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,36197748.0,ns,1116
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,37502040.0,ns,1147
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,38784531.0,ns,1178
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,39512482.0,ns,1209
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,40604558.0,ns,1240
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,40874778.0,ns,1271
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,42122866.0,ns,1302
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,43368554.0,ns,1333
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,44498533.0,ns,1364
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,45680116.0,ns,1395
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,46572879.0,ns,1426
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,47566649.0,ns,1457
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,48634324.0,ns,1488
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,49634795.0,ns,1519
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,50959888.0,ns,1550
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,51778146.0,ns,1581
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,52686910.0,ns,1612
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,53800188.0,ns,1643
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,55613016.0,ns,1674
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,55794829.0,ns,1705
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,56724694.0,ns,1736
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,57347138.0,ns,1767
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,58482419.0,ns,1798
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,58691235.0,ns,1829
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,60682074.0,ns,1860
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,60989296.0,ns,1891
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,61358822.0,ns,1922
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,62841927.0,ns,1953
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,64245726.0,ns,1984
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,65225294.0,ns,2015
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,65960946.0,ns,2046
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,67755073.0,ns,2077
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,68101197.0,ns,2108
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,69004461.0,ns,2139
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,70863792.0,ns,2170
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,70712081.0,ns,2201
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,72498507.0,ns,2232
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,73303063.0,ns,2263
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,75226599.0,ns,2294
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,76081459.0,ns,2325
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,75443514.0,ns,2356
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,76650500.0,ns,2387
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,78148405.0,ns,2418
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,78516431.0,ns,2449
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,80892798.0,ns,2480
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,82207391.0,ns,2511
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,81925371.0,ns,2542
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,83448878.0,ns,2573
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,84022318.0,ns,2604
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,85081893.0,ns,2635
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,86736710.0,ns,2666
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,85180100.0,ns,2697
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,88894562.0,ns,2728
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,89498505.0,ns,2759
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,89790725.0,ns,2790
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,92119389.0,ns,2821
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,93155562.0,ns,2852
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,93128360.0,ns,2883
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,95626636.0,ns,2914
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,96411791.0,ns,2945
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,96572102.0,ns,2976
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,98338627.0,ns,3007
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,98514839.0,ns,3038
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,99701523.0,ns,3069
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,64,,,99970641.0,ns,3100
