group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,983566.0,ns,475
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,1957633.0,ns,950
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,2951101.0,ns,1425
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,3960170.0,ns,1900
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,4913034.0,ns,2375
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,5887901.0,ns,2850
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,6865268.0,ns,3325
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,7719725.0,ns,3800
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,8659790.0,ns,4275
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,9713862.0,ns,4750
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,10249999.0,ns,5225
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,11623792.0,ns,5700
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,12609659.0,ns,6175
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,13594926.0,ns,6650
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,14461302.0,ns,7125
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,15626101.0,ns,7600
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,16735579.0,ns,8075
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,17546036.0,ns,8550
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,18370694.0,ns,9025
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,19591480.0,ns,9500
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,20402038.0,ns,9975
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,21400208.0,ns,10450
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,22388977.0,ns,10925
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,23254738.0,ns,11400
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,24617435.0,ns,11875
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,24922256.0,ns,12350
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,25434892.0,ns,12825
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,27415131.0,ns,13300
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,28414402.0,ns,13775
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,29252461.0,ns,14250
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,30018015.0,ns,14725
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal,8,,,30616558.0,ns,15200
