group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,1007489.0,ns,74
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,2013178.0,ns,148
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,2994764.0,ns,222
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,4015055.0,ns,296
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,5006642.0,ns,370
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,6021132.0,ns,444
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,7036821.0,ns,518
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,8043210.0,ns,592
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,8990494.0,ns,666
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,10051188.0,ns,740
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,11010872.0,ns,814
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,12058365.0,ns,888
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,13073655.0,ns,962
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,14057841.0,ns,1036
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,14987423.0,ns,1110
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,16058418.0,ns,1184
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,16990401.0,ns,1258
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,18048093.0,ns,1332
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,19053983.0,ns,1406
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,20073372.0,ns,1480
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,20956650.0,ns,1554
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,22103952.0,ns,1628
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,22986030.0,ns,1702
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,24108629.0,ns,1776
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,25148220.0,ns,1850
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,26128107.0,ns,1924
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,26977982.0,ns,1998
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,28140485.0,ns,2072
group__orbit__transversal_vs_optmized_transversal_uncomplete,transversal_optmized,32,,,28997160.0,ns,2146
