group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__copies_cyclic,ift,16,,,91481267.0,ns,117
group__stabchain__ss__copies_cyclic,ift,16,,,183084842.0,ns,234
group__stabchain__ss__copies_cyclic,ift,16,,,274535107.0,ns,351
group__stabchain__ss__copies_cyclic,ift,16,,,366325696.0,ns,468
group__stabchain__ss__copies_cyclic,ift,16,,,457547143.0,ns,585
group__stabchain__ss__copies_cyclic,ift,16,,,549299229.0,ns,702
group__stabchain__ss__copies_cyclic,ift,16,,,640674887.0,ns,819
group__stabchain__ss__copies_cyclic,ift,16,,,732334566.0,ns,936
group__stabchain__ss__copies_cyclic,ift,16,,,823600516.0,ns,1053
group__stabchain__ss__copies_cyclic,ift,16,,,915535815.0,ns,1170
