group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,92272107.0,ns,22
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,184532413.0,ns,44
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,276801020.0,ns,66
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,368779105.0,ns,88
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,461175722.0,ns,110
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,554037271.0,ns,132
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,646032558.0,ns,154
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,737794227.0,ns,176
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,830374456.0,ns,198
group__stabchain__ss__copies_cyclic,random_shallow_known_order,20,,,921700292.0,ns,220
