group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,default,10,,,1022478.0,ns,553
group__stabchain__ss__cyclic,default,10,,,1966549.0,ns,1106
group__stabchain__ss__cyclic,default,10,,,2931121.0,ns,1659
group__stabchain__ss__cyclic,default,10,,,4059507.0,ns,2212
group__stabchain__ss__cyclic,default,10,,,4431735.0,ns,2765
group__stabchain__ss__cyclic,default,10,,,6121863.0,ns,3318
group__stabchain__ss__cyclic,default,10,,,6976328.0,ns,3871
group__stabchain__ss__cyclic,default,10,,,7894198.0,ns,4424
group__stabchain__ss__cyclic,default,10,,,8874971.0,ns,4977
group__stabchain__ss__cyclic,default,10,,,10073162.0,ns,5530
group__stabchain__ss__cyclic,default,10,,,9801842.0,ns,6083
group__stabchain__ss__cyclic,default,10,,,11988107.0,ns,6636
group__stabchain__ss__cyclic,default,10,,,12859873.0,ns,7189
group__stabchain__ss__cyclic,default,10,,,14101767.0,ns,7742
group__stabchain__ss__cyclic,default,10,,,14743715.0,ns,8295
group__stabchain__ss__cyclic,default,10,,,16005010.0,ns,8848
group__stabchain__ss__cyclic,default,10,,,16282832.0,ns,9401
group__stabchain__ss__cyclic,default,10,,,18166875.0,ns,9954
group__stabchain__ss__cyclic,default,10,,,19393767.0,ns,10507
group__stabchain__ss__cyclic,default,10,,,20342839.0,ns,11060
group__stabchain__ss__cyclic,default,10,,,21357316.0,ns,11613
group__stabchain__ss__cyclic,default,10,,,22397195.0,ns,12166
group__stabchain__ss__cyclic,default,10,,,23386869.0,ns,12719
group__stabchain__ss__cyclic,default,10,,,24418947.0,ns,13272
group__stabchain__ss__cyclic,default,10,,,25088898.0,ns,13825
group__stabchain__ss__cyclic,default,10,,,25745447.0,ns,14378
group__stabchain__ss__cyclic,default,10,,,27485679.0,ns,14931
group__stabchain__ss__cyclic,default,10,,,28515657.0,ns,15484
group__stabchain__ss__cyclic,default,10,,,29406325.0,ns,16037
group__stabchain__ss__cyclic,default,10,,,30139780.0,ns,16590
group__stabchain__ss__cyclic,default,10,,,31265866.0,ns,17143
group__stabchain__ss__cyclic,default,10,,,32052225.0,ns,17696
group__stabchain__ss__cyclic,default,10,,,32537161.0,ns,18249
group__stabchain__ss__cyclic,default,10,,,32617968.0,ns,18802
group__stabchain__ss__cyclic,default,10,,,35381377.0,ns,19355
group__stabchain__ss__cyclic,default,10,,,35459983.0,ns,19908
group__stabchain__ss__cyclic,default,10,,,36810185.0,ns,20461
group__stabchain__ss__cyclic,default,10,,,38816236.0,ns,21014
group__stabchain__ss__cyclic,default,10,,,39422183.0,ns,21567
group__stabchain__ss__cyclic,default,10,,,39164063.0,ns,22120
group__stabchain__ss__cyclic,default,10,,,40925796.0,ns,22673
group__stabchain__ss__cyclic,default,10,,,42573521.0,ns,23226
group__stabchain__ss__cyclic,default,10,,,42972051.0,ns,23779
