group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,default,16,,,998775.0,ns,267
group__stabchain__ss__cyclic,default,16,,,1992950.0,ns,534
group__stabchain__ss__cyclic,default,16,,,2989326.0,ns,801
group__stabchain__ss__cyclic,default,16,,,4008403.0,ns,1068
group__stabchain__ss__cyclic,default,16,,,4959774.0,ns,1335
group__stabchain__ss__cyclic,default,16,,,6006954.0,ns,1602
group__stabchain__ss__cyclic,default,16,,,6915922.0,ns,1869
group__stabchain__ss__cyclic,default,16,,,7954701.0,ns,2136
group__stabchain__ss__cyclic,default,16,,,8986478.0,ns,2403
group__stabchain__ss__cyclic,default,16,,,9665130.0,ns,2670
group__stabchain__ss__cyclic,default,16,,,10890622.0,ns,2937
group__stabchain__ss__cyclic,default,16,,,11916500.0,ns,3204
group__stabchain__ss__cyclic,default,16,,,12971479.0,ns,3471
group__stabchain__ss__cyclic,default,16,,,13806442.0,ns,3738
group__stabchain__ss__cyclic,default,16,,,14849120.0,ns,4005
group__stabchain__ss__cyclic,default,16,,,15931002.0,ns,4272
group__stabchain__ss__cyclic,default,16,,,16904076.0,ns,4539
group__stabchain__ss__cyclic,default,16,,,17808844.0,ns,4806
group__stabchain__ss__cyclic,default,16,,,18918128.0,ns,5073
group__stabchain__ss__cyclic,default,16,,,19878101.0,ns,5340
group__stabchain__ss__cyclic,default,16,,,20797670.0,ns,5607
group__stabchain__ss__cyclic,default,16,,,21706538.0,ns,5874
group__stabchain__ss__cyclic,default,16,,,22788120.0,ns,6141
group__stabchain__ss__cyclic,default,16,,,23877802.0,ns,6408
group__stabchain__ss__cyclic,default,16,,,24791172.0,ns,6675
group__stabchain__ss__cyclic,default,16,,,25711341.0,ns,6942
group__stabchain__ss__cyclic,default,16,,,26651812.0,ns,7209
group__stabchain__ss__cyclic,default,16,,,27845802.0,ns,7476
group__stabchain__ss__cyclic,default,16,,,28400944.0,ns,7743
group__stabchain__ss__cyclic,default,16,,,29713043.0,ns,8010
group__stabchain__ss__cyclic,default,16,,,30659014.0,ns,8277
group__stabchain__ss__cyclic,default,16,,,31824503.0,ns,8544
group__stabchain__ss__cyclic,default,16,,,32663365.0,ns,8811
group__stabchain__ss__cyclic,default,16,,,33577835.0,ns,9078
group__stabchain__ss__cyclic,default,16,,,34312990.0,ns,9345
group__stabchain__ss__cyclic,default,16,,,35788902.0,ns,9612
group__stabchain__ss__cyclic,default,16,,,36364245.0,ns,9879
group__stabchain__ss__cyclic,default,16,,,37247312.0,ns,10146
group__stabchain__ss__cyclic,default,16,,,38363596.0,ns,10413
group__stabchain__ss__cyclic,default,16,,,39618290.0,ns,10680
group__stabchain__ss__cyclic,default,16,,,40288341.0,ns,10947
group__stabchain__ss__cyclic,default,16,,,41603240.0,ns,11214
group__stabchain__ss__cyclic,default,16,,,42594215.0,ns,11481
group__stabchain__ss__cyclic,default,16,,,43603691.0,ns,11748
group__stabchain__ss__cyclic,default,16,,,44292043.0,ns,12015
group__stabchain__ss__cyclic,default,16,,,45585141.0,ns,12282
group__stabchain__ss__cyclic,default,16,,,46446306.0,ns,12549
group__stabchain__ss__cyclic,default,16,,,47107656.0,ns,12816
group__stabchain__ss__cyclic,default,16,,,47683099.0,ns,13083
group__stabchain__ss__cyclic,default,16,,,48493861.0,ns,13350
group__stabchain__ss__cyclic,default,16,,,50302497.0,ns,13617
group__stabchain__ss__cyclic,default,16,,,49249518.0,ns,13884
group__stabchain__ss__cyclic,default,16,,,51194864.0,ns,14151
group__stabchain__ss__cyclic,default,16,,,52825788.0,ns,14418
group__stabchain__ss__cyclic,default,16,,,53912369.0,ns,14685
group__stabchain__ss__cyclic,default,16,,,54996151.0,ns,14952
group__stabchain__ss__cyclic,default,16,,,55590896.0,ns,15219
group__stabchain__ss__cyclic,default,16,,,55575495.0,ns,15486
group__stabchain__ss__cyclic,default,16,,,56085633.0,ns,15753
group__stabchain__ss__cyclic,default,16,,,57187217.0,ns,16020
group__stabchain__ss__cyclic,default,16,,,58718032.0,ns,16287
group__stabchain__ss__cyclic,default,16,,,60759587.0,ns,16554
group__stabchain__ss__cyclic,default,16,,,61777563.0,ns,16821
group__stabchain__ss__cyclic,default,16,,,63362583.0,ns,17088
group__stabchain__ss__cyclic,default,16,,,64206747.0,ns,17355
group__stabchain__ss__cyclic,default,16,,,64285052.0,ns,17622
group__stabchain__ss__cyclic,default,16,,,64947702.0,ns,17889
group__stabchain__ss__cyclic,default,16,,,66363609.0,ns,18156
group__stabchain__ss__cyclic,default,16,,,66823944.0,ns,18423
group__stabchain__ss__cyclic,default,16,,,67570500.0,ns,18690
group__stabchain__ss__cyclic,default,16,,,68585177.0,ns,18957
group__stabchain__ss__cyclic,default,16,,,70197098.0,ns,19224
group__stabchain__ss__cyclic,default,16,,,67648706.0,ns,19491
group__stabchain__ss__cyclic,default,16,,,70616530.0,ns,19758
group__stabchain__ss__cyclic,default,16,,,73480747.0,ns,20025
group__stabchain__ss__cyclic,default,16,,,75481498.0,ns,20292
group__stabchain__ss__cyclic,default,16,,,75521201.0,ns,20559
group__stabchain__ss__cyclic,default,16,,,76529476.0,ns,20826
group__stabchain__ss__cyclic,default,16,,,76985511.0,ns,21093
group__stabchain__ss__cyclic,default,16,,,78703241.0,ns,21360
group__stabchain__ss__cyclic,default,16,,,79142674.0,ns,21627
group__stabchain__ss__cyclic,default,16,,,80033640.0,ns,21894
group__stabchain__ss__cyclic,default,16,,,81832575.0,ns,22161
group__stabchain__ss__cyclic,default,16,,,80483174.0,ns,22428
group__stabchain__ss__cyclic,default,16,,,82984863.0,ns,22695
group__stabchain__ss__cyclic,default,16,,,80817699.0,ns,22962
group__stabchain__ss__cyclic,default,16,,,84939510.0,ns,23229
group__stabchain__ss__cyclic,default,16,,,85971688.0,ns,23496
group__stabchain__ss__cyclic,default,16,,,87347592.0,ns,23763
