group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,ift,20,,,988174.0,ns,213
group__stabchain__ss__cyclic,ift,20,,,1978649.0,ns,426
group__stabchain__ss__cyclic,ift,20,,,2960223.0,ns,639
group__stabchain__ss__cyclic,ift,20,,,3961398.0,ns,852
group__stabchain__ss__cyclic,ift,20,,,4945072.0,ns,1065
group__stabchain__ss__cyclic,ift,20,,,5927546.0,ns,1278
group__stabchain__ss__cyclic,ift,20,,,6920320.0,ns,1491
group__stabchain__ss__cyclic,ift,20,,,7907094.0,ns,1704
group__stabchain__ss__cyclic,ift,20,,,8893669.0,ns,1917
group__stabchain__ss__cyclic,ift,20,,,9887844.0,ns,2130
group__stabchain__ss__cyclic,ift,20,,,10872117.0,ns,2343
group__stabchain__ss__cyclic,ift,20,,,11864492.0,ns,2556
group__stabchain__ss__cyclic,ift,20,,,12848466.0,ns,2769
group__stabchain__ss__cyclic,ift,20,,,13813139.0,ns,2982
group__stabchain__ss__cyclic,ift,20,,,14792812.0,ns,3195
group__stabchain__ss__cyclic,ift,20,,,15783987.0,ns,3408
group__stabchain__ss__cyclic,ift,20,,,16775462.0,ns,3621
group__stabchain__ss__cyclic,ift,20,,,17752635.0,ns,3834
group__stabchain__ss__cyclic,ift,20,,,18747310.0,ns,4047
group__stabchain__ss__cyclic,ift,20,,,19734284.0,ns,4260
group__stabchain__ss__cyclic,ift,20,,,20711557.0,ns,4473
group__stabchain__ss__cyclic,ift,20,,,21696531.0,ns,4686
group__stabchain__ss__cyclic,ift,20,,,22698606.0,ns,4899
group__stabchain__ss__cyclic,ift,20,,,23671880.0,ns,5112
group__stabchain__ss__cyclic,ift,20,,,24659654.0,ns,5325
group__stabchain__ss__cyclic,ift,20,,,25636428.0,ns,5538
group__stabchain__ss__cyclic,ift,20,,,26640503.0,ns,5751
group__stabchain__ss__cyclic,ift,20,,,27632878.0,ns,5964
group__stabchain__ss__cyclic,ift,20,,,28646654.0,ns,6177
group__stabchain__ss__cyclic,ift,20,,,29591925.0,ns,6390
group__stabchain__ss__cyclic,ift,20,,,30566998.0,ns,6603
group__stabchain__ss__cyclic,ift,20,,,31580374.0,ns,6816
group__stabchain__ss__cyclic,ift,20,,,32552547.0,ns,7029
group__stabchain__ss__cyclic,ift,20,,,33548322.0,ns,7242
group__stabchain__ss__cyclic,ift,20,,,34524195.0,ns,7455
group__stabchain__ss__cyclic,ift,20,,,35512369.0,ns,7668
group__stabchain__ss__cyclic,ift,20,,,36487443.0,ns,7881
group__stabchain__ss__cyclic,ift,20,,,37485918.0,ns,8094
group__stabchain__ss__cyclic,ift,20,,,38473692.0,ns,8307
group__stabchain__ss__cyclic,ift,20,,,39459867.0,ns,8520
group__stabchain__ss__cyclic,ift,20,,,40456142.0,ns,8733
group__stabchain__ss__cyclic,ift,20,,,41439116.0,ns,8946
group__stabchain__ss__cyclic,ift,20,,,42406688.0,ns,9159
group__stabchain__ss__cyclic,ift,20,,,43412564.0,ns,9372
group__stabchain__ss__cyclic,ift,20,,,44392538.0,ns,9585
group__stabchain__ss__cyclic,ift,20,,,45370911.0,ns,9798
group__stabchain__ss__cyclic,ift,20,,,46367286.0,ns,10011
group__stabchain__ss__cyclic,ift,20,,,47345159.0,ns,10224
group__stabchain__ss__cyclic,ift,20,,,48328334.0,ns,10437
group__stabchain__ss__cyclic,ift,20,,,49325508.0,ns,10650
group__stabchain__ss__cyclic,ift,20,,,50322783.0,ns,10863
group__stabchain__ss__cyclic,ift,20,,,51300457.0,ns,11076
group__stabchain__ss__cyclic,ift,20,,,52311633.0,ns,11289
group__stabchain__ss__cyclic,ift,20,,,53267404.0,ns,11502
group__stabchain__ss__cyclic,ift,20,,,54268279.0,ns,11715
