group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,ift,32,,,1003874.0,ns,123
group__stabchain__ss__cyclic,ift,32,,,1989448.0,ns,246
group__stabchain__ss__cyclic,ift,32,,,2987522.0,ns,369
group__stabchain__ss__cyclic,ift,32,,,3982696.0,ns,492
group__stabchain__ss__cyclic,ift,32,,,4982170.0,ns,615
group__stabchain__ss__cyclic,ift,32,,,5975544.0,ns,738
group__stabchain__ss__cyclic,ift,32,,,6968518.0,ns,861
group__stabchain__ss__cyclic,ift,32,,,7965793.0,ns,984
group__stabchain__ss__cyclic,ift,32,,,8963667.0,ns,1107
group__stabchain__ss__cyclic,ift,32,,,9953740.0,ns,1230
group__stabchain__ss__cyclic,ift,32,,,10951615.0,ns,1353
group__stabchain__ss__cyclic,ift,32,,,11947488.0,ns,1476
group__stabchain__ss__cyclic,ift,32,,,12937762.0,ns,1599
group__stabchain__ss__cyclic,ift,32,,,13942337.0,ns,1722
group__stabchain__ss__cyclic,ift,32,,,14925911.0,ns,1845
group__stabchain__ss__cyclic,ift,32,,,15936386.0,ns,1968
group__stabchain__ss__cyclic,ift,32,,,16928160.0,ns,2091
group__stabchain__ss__cyclic,ift,32,,,17923033.0,ns,2214
group__stabchain__ss__cyclic,ift,32,,,18935608.0,ns,2337
group__stabchain__ss__cyclic,ift,32,,,19910981.0,ns,2460
group__stabchain__ss__cyclic,ift,32,,,20909256.0,ns,2583
group__stabchain__ss__cyclic,ift,32,,,21901130.0,ns,2706
group__stabchain__ss__cyclic,ift,32,,,22903904.0,ns,2829
group__stabchain__ss__cyclic,ift,32,,,23884677.0,ns,2952
group__stabchain__ss__cyclic,ift,32,,,25004060.0,ns,3075
group__stabchain__ss__cyclic,ift,32,,,25979233.0,ns,3198
group__stabchain__ss__cyclic,ift,32,,,27003109.0,ns,3321
group__stabchain__ss__cyclic,ift,32,,,27909976.0,ns,3444
group__stabchain__ss__cyclic,ift,32,,,28924251.0,ns,3567
group__stabchain__ss__cyclic,ift,32,,,29919626.0,ns,3690
group__stabchain__ss__cyclic,ift,32,,,30885598.0,ns,3813
group__stabchain__ss__cyclic,ift,32,,,31861370.0,ns,3936
group__stabchain__ss__cyclic,ift,32,,,32883046.0,ns,4059
group__stabchain__ss__cyclic,ift,32,,,33867619.0,ns,4182
group__stabchain__ss__cyclic,ift,32,,,34847292.0,ns,4305
group__stabchain__ss__cyclic,ift,32,,,35853868.0,ns,4428
group__stabchain__ss__cyclic,ift,32,,,36854142.0,ns,4551
group__stabchain__ss__cyclic,ift,32,,,37850216.0,ns,4674
group__stabchain__ss__cyclic,ift,32,,,38840490.0,ns,4797
group__stabchain__ss__cyclic,ift,32,,,39826863.0,ns,4920
group__stabchain__ss__cyclic,ift,32,,,40818636.0,ns,5043
group__stabchain__ss__cyclic,ift,32,,,41802710.0,ns,5166
group__stabchain__ss__cyclic,ift,32,,,42826886.0,ns,5289
group__stabchain__ss__cyclic,ift,32,,,43824761.0,ns,5412
group__stabchain__ss__cyclic,ift,32,,,44845336.0,ns,5535
group__stabchain__ss__cyclic,ift,32,,,45802107.0,ns,5658
group__stabchain__ss__cyclic,ift,32,,,46816983.0,ns,5781
group__stabchain__ss__cyclic,ift,32,,,47793055.0,ns,5904
group__stabchain__ss__cyclic,ift,32,,,48785029.0,ns,6027
group__stabchain__ss__cyclic,ift,32,,,49798405.0,ns,6150
group__stabchain__ss__cyclic,ift,32,,,50799979.0,ns,6273
group__stabchain__ss__cyclic,ift,32,,,51778251.0,ns,6396
group__stabchain__ss__cyclic,ift,32,,,52786026.0,ns,6519
group__stabchain__ss__cyclic,ift,32,,,53861406.0,ns,6642
group__stabchain__ss__cyclic,ift,32,,,54810177.0,ns,6765
group__stabchain__ss__cyclic,ift,32,,,55829554.0,ns,6888
group__stabchain__ss__cyclic,ift,32,,,56837928.0,ns,7011
group__stabchain__ss__cyclic,ift,32,,,57817701.0,ns,7134
group__stabchain__ss__cyclic,ift,32,,,58822176.0,ns,7257
group__stabchain__ss__cyclic,ift,32,,,59834851.0,ns,7380
group__stabchain__ss__cyclic,ift,32,,,60765021.0,ns,7503
group__stabchain__ss__cyclic,ift,32,,,61730992.0,ns,7626
group__stabchain__ss__cyclic,ift,32,,,62737067.0,ns,7749
group__stabchain__ss__cyclic,ift,32,,,63745441.0,ns,7872
group__stabchain__ss__cyclic,ift,32,,,64747716.0,ns,7995
group__stabchain__ss__cyclic,ift,32,,,65711888.0,ns,8118
group__stabchain__ss__cyclic,ift,32,,,66722764.0,ns,8241
group__stabchain__ss__cyclic,ift,32,,,67742239.0,ns,8364
group__stabchain__ss__cyclic,ift,32,,,68765415.0,ns,8487
group__stabchain__ss__cyclic,ift,32,,,69765089.0,ns,8610
group__stabchain__ss__cyclic,ift,32,,,70789766.0,ns,8733
group__stabchain__ss__cyclic,ift,32,,,71770539.0,ns,8856
group__stabchain__ss__cyclic,ift,32,,,72749012.0,ns,8979
group__stabchain__ss__cyclic,ift,32,,,73759186.0,ns,9102
group__stabchain__ss__cyclic,ift,32,,,74707757.0,ns,9225
group__stabchain__ss__cyclic,ift,32,,,75672429.0,ns,9348
group__stabchain__ss__cyclic,ift,32,,,76612399.0,ns,9471
