group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,naive,20,,,983974.0,ns,196
group__stabchain__ss__cyclic,naive,20,,,1950847.0,ns,392
group__stabchain__ss__cyclic,naive,20,,,2931221.0,ns,588
group__stabchain__ss__cyclic,naive,20,,,3909294.0,ns,784
group__stabchain__ss__cyclic,naive,20,,,4881967.0,ns,980
group__stabchain__ss__cyclic,naive,20,,,5871042.0,ns,1176
group__stabchain__ss__cyclic,naive,20,,,6837514.0,ns,1372
group__stabchain__ss__cyclic,naive,20,,,7817788.0,ns,1568
group__stabchain__ss__cyclic,naive,20,,,8796362.0,ns,1764
group__stabchain__ss__cyclic,naive,20,,,9772036.0,ns,1960
group__stabchain__ss__cyclic,naive,20,,,10750509.0,ns,2156
group__stabchain__ss__cyclic,naive,20,,,11730183.0,ns,2352
group__stabchain__ss__cyclic,naive,20,,,12698656.0,ns,2548
group__stabchain__ss__cyclic,naive,20,,,13684931.0,ns,2744
group__stabchain__ss__cyclic,naive,20,,,14662404.0,ns,2940
group__stabchain__ss__cyclic,naive,20,,,15638778.0,ns,3136
group__stabchain__ss__cyclic,naive,20,,,16616051.0,ns,3332
group__stabchain__ss__cyclic,naive,20,,,17586924.0,ns,3528
group__stabchain__ss__cyclic,naive,20,,,18578999.0,ns,3724
group__stabchain__ss__cyclic,naive,20,,,19559672.0,ns,3920
group__stabchain__ss__cyclic,naive,20,,,20521446.0,ns,4116
group__stabchain__ss__cyclic,naive,20,,,21498518.0,ns,4312
group__stabchain__ss__cyclic,naive,20,,,22484693.0,ns,4508
group__stabchain__ss__cyclic,naive,20,,,23461666.0,ns,4704
group__stabchain__ss__cyclic,naive,20,,,24429739.0,ns,4900
group__stabchain__ss__cyclic,naive,20,,,25403213.0,ns,5096
group__stabchain__ss__cyclic,naive,20,,,26389787.0,ns,5292
group__stabchain__ss__cyclic,naive,20,,,27362760.0,ns,5488
group__stabchain__ss__cyclic,naive,20,,,28337633.0,ns,5684
group__stabchain__ss__cyclic,naive,20,,,29318308.0,ns,5880
group__stabchain__ss__cyclic,naive,20,,,30294981.0,ns,6076
group__stabchain__ss__cyclic,naive,20,,,31270055.0,ns,6272
group__stabchain__ss__cyclic,naive,20,,,32259229.0,ns,6468
group__stabchain__ss__cyclic,naive,20,,,33242903.0,ns,6664
group__stabchain__ss__cyclic,naive,20,,,34189774.0,ns,6860
group__stabchain__ss__cyclic,naive,20,,,35179548.0,ns,7056
group__stabchain__ss__cyclic,naive,20,,,36153522.0,ns,7252
group__stabchain__ss__cyclic,naive,20,,,37130395.0,ns,7448
group__stabchain__ss__cyclic,naive,20,,,38088367.0,ns,7644
group__stabchain__ss__cyclic,naive,20,,,39107444.0,ns,7840
group__stabchain__ss__cyclic,naive,20,,,40049816.0,ns,8036
group__stabchain__ss__cyclic,naive,20,,,41042290.0,ns,8232
group__stabchain__ss__cyclic,naive,20,,,42018064.0,ns,8428
group__stabchain__ss__cyclic,naive,20,,,42985437.0,ns,8624
group__stabchain__ss__cyclic,naive,20,,,43977711.0,ns,8820
group__stabchain__ss__cyclic,naive,20,,,44939884.0,ns,9016
group__stabchain__ss__cyclic,naive,20,,,45913556.0,ns,9212
group__stabchain__ss__cyclic,naive,20,,,46907931.0,ns,9408
group__stabchain__ss__cyclic,naive,20,,,47865504.0,ns,9604
group__stabchain__ss__cyclic,naive,20,,,48878380.0,ns,9800
group__stabchain__ss__cyclic,naive,20,,,49894656.0,ns,9996
group__stabchain__ss__cyclic,naive,20,,,50918833.0,ns,10192
group__stabchain__ss__cyclic,naive,20,,,51815101.0,ns,10388
group__stabchain__ss__cyclic,naive,20,,,52792975.0,ns,10584
group__stabchain__ss__cyclic,naive,20,,,53747246.0,ns,10780
group__stabchain__ss__cyclic,naive,20,,,54702118.0,ns,10976
group__stabchain__ss__cyclic,naive,20,,,55680792.0,ns,11172
group__stabchain__ss__cyclic,naive,20,,,56695469.0,ns,11368
group__stabchain__ss__cyclic,naive,20,,,57650040.0,ns,11564
group__stabchain__ss__cyclic,naive,20,,,58624814.0,ns,11760
group__stabchain__ss__cyclic,naive,20,,,59608088.0,ns,11956
group__stabchain__ss__cyclic,naive,20,,,60595962.0,ns,12152
group__stabchain__ss__cyclic,naive,20,,,61536533.0,ns,12348
group__stabchain__ss__cyclic,naive,20,,,62572410.0,ns,12544
group__stabchain__ss__cyclic,naive,20,,,63503480.0,ns,12740
group__stabchain__ss__cyclic,naive,20,,,64516957.0,ns,12936
group__stabchain__ss__cyclic,naive,20,,,65498131.0,ns,13132
group__stabchain__ss__cyclic,naive,20,,,66510707.0,ns,13328
group__stabchain__ss__cyclic,naive,20,,,67488580.0,ns,13524
group__stabchain__ss__cyclic,naive,20,,,68448953.0,ns,13720
group__stabchain__ss__cyclic,naive,20,,,69386724.0,ns,13916
group__stabchain__ss__cyclic,naive,20,,,70396999.0,ns,14112
group__stabchain__ss__cyclic,naive,20,,,71332370.0,ns,14308
group__stabchain__ss__cyclic,naive,20,,,72345646.0,ns,14504
group__stabchain__ss__cyclic,naive,20,,,73305719.0,ns,14700
group__stabchain__ss__cyclic,naive,20,,,74232788.0,ns,14896
group__stabchain__ss__cyclic,naive,20,,,75227663.0,ns,15092
group__stabchain__ss__cyclic,naive,20,,,76187536.0,ns,15288
group__stabchain__ss__cyclic,naive,20,,,77553537.0,ns,15484
group__stabchain__ss__cyclic,naive,20,,,78196685.0,ns,15680
group__stabchain__ss__cyclic,naive,20,,,79139556.0,ns,15876
