group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,naive,8,,,983978.0,ns,591
group__stabchain__ss__cyclic,naive,8,,,1972156.0,ns,1182
group__stabchain__ss__cyclic,naive,8,,,2958434.0,ns,1773
group__stabchain__ss__cyclic,naive,8,,,3935411.0,ns,2364
group__stabchain__ss__cyclic,naive,8,,,4932290.0,ns,2955
group__stabchain__ss__cyclic,naive,8,,,5949570.0,ns,3546
group__stabchain__ss__cyclic,naive,8,,,6949749.0,ns,4137
group__stabchain__ss__cyclic,naive,8,,,7872822.0,ns,4728
group__stabchain__ss__cyclic,naive,8,,,8855800.0,ns,5319
group__stabchain__ss__cyclic,naive,8,,,9838578.0,ns,5910
group__stabchain__ss__cyclic,naive,8,,,10823655.0,ns,6501
group__stabchain__ss__cyclic,naive,8,,,11809733.0,ns,7092
group__stabchain__ss__cyclic,naive,8,,,12831314.0,ns,7683
group__stabchain__ss__cyclic,naive,8,,,13796490.0,ns,8274
group__stabchain__ss__cyclic,naive,8,,,14818771.0,ns,8865
group__stabchain__ss__cyclic,naive,8,,,15748544.0,ns,9456
group__stabchain__ss__cyclic,naive,8,,,16772025.0,ns,10047
group__stabchain__ss__cyclic,naive,8,,,17834609.0,ns,10638
group__stabchain__ss__cyclic,naive,8,,,18832488.0,ns,11229
group__stabchain__ss__cyclic,naive,8,,,19831667.0,ns,11820
group__stabchain__ss__cyclic,naive,8,,,20808544.0,ns,12411
group__stabchain__ss__cyclic,naive,8,,,21741918.0,ns,13002
group__stabchain__ss__cyclic,naive,8,,,22672691.0,ns,13593
group__stabchain__ss__cyclic,naive,8,,,23664870.0,ns,14184
group__stabchain__ss__cyclic,naive,8,,,24711952.0,ns,14775
group__stabchain__ss__cyclic,naive,8,,,25703031.0,ns,15366
group__stabchain__ss__cyclic,naive,8,,,26584101.0,ns,15957
group__stabchain__ss__cyclic,naive,8,,,27566378.0,ns,16548
group__stabchain__ss__cyclic,naive,8,,,28549155.0,ns,17139
group__stabchain__ss__cyclic,naive,8,,,29517933.0,ns,17730
group__stabchain__ss__cyclic,naive,8,,,30544413.0,ns,18321
group__stabchain__ss__cyclic,naive,8,,,31485387.0,ns,18912
group__stabchain__ss__cyclic,naive,8,,,32499267.0,ns,19503
group__stabchain__ss__cyclic,naive,8,,,33459843.0,ns,20094
group__stabchain__ss__cyclic,naive,8,,,34448122.0,ns,20685
group__stabchain__ss__cyclic,naive,8,,,35435599.0,ns,21276
group__stabchain__ss__cyclic,naive,8,,,36415877.0,ns,21867
group__stabchain__ss__cyclic,naive,8,,,37424656.0,ns,22458
group__stabchain__ss__cyclic,naive,8,,,38381932.0,ns,23049
group__stabchain__ss__cyclic,naive,8,,,39358609.0,ns,23640
group__stabchain__ss__cyclic,naive,8,,,40361888.0,ns,24231
group__stabchain__ss__cyclic,naive,8,,,41339365.0,ns,24822
group__stabchain__ss__cyclic,naive,8,,,42331444.0,ns,25413
group__stabchain__ss__cyclic,naive,8,,,43318922.0,ns,26004
group__stabchain__ss__cyclic,naive,8,,,44302000.0,ns,26595
group__stabchain__ss__cyclic,naive,8,,,45357683.0,ns,27186
group__stabchain__ss__cyclic,naive,8,,,46279355.0,ns,27777
group__stabchain__ss__cyclic,naive,8,,,47238832.0,ns,28368
group__stabchain__ss__cyclic,naive,8,,,48306616.0,ns,28959
group__stabchain__ss__cyclic,naive,8,,,49265892.0,ns,29550
group__stabchain__ss__cyclic,naive,8,,,50412482.0,ns,30141
group__stabchain__ss__cyclic,naive,8,,,51235047.0,ns,30732
group__stabchain__ss__cyclic,naive,8,,,52392539.0,ns,31323
group__stabchain__ss__cyclic,naive,8,,,53475024.0,ns,31914
group__stabchain__ss__cyclic,naive,8,,,54355793.0,ns,32505
group__stabchain__ss__cyclic,naive,8,,,55112153.0,ns,33096
group__stabchain__ss__cyclic,naive,8,,,56378053.0,ns,33687
group__stabchain__ss__cyclic,naive,8,,,57131812.0,ns,34278
group__stabchain__ss__cyclic,naive,8,,,58093388.0,ns,34869
group__stabchain__ss__cyclic,naive,8,,,59060765.0,ns,35460
group__stabchain__ss__cyclic,naive,8,,,60218456.0,ns,36051
group__stabchain__ss__cyclic,naive,8,,,61145229.0,ns,36642
